compound_id,name,category,regime,MW,LogP,TPSA,n_rings,n_heteroatoms,n_rotatable_bonds,persistence_score,biodegradability_score,toxicity_score
CHEM_0043,Ethylbenzene,Aromatic_Hydrocarbon,Resonant,106.17,3.15,0.0,1,0,1,0.33,0.67,0.3149448152205355
CHEM_0044,Cumene (Isopropylbenzene),Aromatic_Hydrocarbon,Resonant,120.19,3.66,0.0,1,0,1,0.35,0.65,0.2760739004816286
CHEM_0045,Biphenyl,Aromatic_Hydrocarbon,Resonant,154.21,4.09,0.0,2,0,1,0.65,0.35,0.6140077895802646
CHEM_0046,Fluorene,Aromatic_Hydrocarbon,Resonant,166.22,4.18,0.0,3,0,0,0.7,0.3,0.6769680614520106
CHEM_0047,Acenaphthene,Aromatic_Hydrocarbon,Resonant,154.21,3.92,0.0,3,0,0,0.68,0.32,0.7328561113109457
CHEM_0048,Aspirin,Pharmaceutical,Resonant,180.16,1.19,63.6,1,4,3,0.15,0.85,0.1671809144784231
CHEM_0049,Ibuprofen,Pharmaceutical,Resonant,206.28,3.97,37.3,1,2,4,0.25,0.75,0.1618479922318633
CHEM_0050,Paracetamol (Acetaminophen),Pharmaceutical,Resonant,151.16,0.46,49.3,1,3,1,0.1,0.9,0.11620419846973973
CHEM_0051,Naproxen,Pharmaceutical,Resonant,230.26,3.18,46.5,2,3,3,0.22,0.78,0.20074588597918414
CHEM_0052,Diclofenac,Pharmaceutical,Resonant,296.15,4.51,49.3,2,5,3,0.3,0.7,0.2661538999847021
CHEM_0053,Atorvastatin,Pharmaceutical,Resonant,558.65,5.39,111.8,3,9,11,0.2,0.8,0.23058381444204334
CHEM_0054,Metformin,Pharmaceutical,Resonant,129.16,-1.43,88.9,0,5,0,0.05,0.95,0.1015499761247976
CHEM_0055,Ciprofloxacin,Pharmaceutical,Resonant,331.34,-0.37,72.9,3,7,3,0.18,0.82,0.22656400595580997
CHEM_0056,Amoxicillin,Pharmaceutical,Resonant,365.4,0.87,138.0,3,9,4,0.12,0.88,0.07803912383886807
CHEM_0057,Warfarin,Pharmaceutical,Resonant,308.33,2.7,62.0,3,5,4,0.2,0.8,0.18453938120743923
CHEM_0058,Codeine,Pharmaceutical,Resonant,299.36,1.28,52.9,4,4,1,0.15,0.85,0.16656317157017822
CHEM_0059,Morphine,Pharmaceutical,Resonant,285.34,0.89,52.9,4,4,1,0.14,0.86,0.18877725635611797
CHEM_0060,Caffeine,Pharmaceutical,Resonant,194.19,-0.07,58.4,2,6,0,0.12,0.88,0.09604128810773549
CHEM_0061,Nicotine,Pharmaceutical,Resonant,162.23,1.17,16.1,2,2,1,0.08,0.92,0.0707170511668091
CHEM_0062,Lidocaine,Pharmaceutical,Resonant,234.34,2.44,32.3,1,3,6,0.15,0.85,0.09468325129969861
CHEM_0063,Ranitidine,Pharmaceutical,Resonant,314.4,0.27,85.8,1,7,8,0.1,0.9,0.040189668795966436
CHEM_0064,Omeprazole,Pharmaceutical,Resonant,345.42,2.23,77.1,3,7,4,0.16,0.84,0.20062629111970992
CHEM_0065,Simvastatin,Pharmaceutical,Resonant,418.57,4.68,72.8,3,6,6,0.18,0.82,0.2478120014285412
CHEM_0066,Losartan,Pharmaceutical,Resonant,422.91,4.27,92.5,4,8,7,0.2,0.8,0.19639949392098327
CHEM_0067,Fluoxetine (Prozac),Pharmaceutical,Resonant,309.33,4.65,21.3,2,4,5,0.25,0.75,0.3001766448946012
CHEM_0068,Polylactic acid (PLA) monomer,Biodegradable_Polymer,Entropic,144.13,0.35,52.6,0,4,2,0.05,0.95,0.06808180125238175
CHEM_0069,Polyhydroxybutyrate (PHB) monomer,Biodegradable_Polymer,Entropic,172.18,1.02,52.6,0,4,3,0.03,0.97,0.0
CHEM_0070,Polycaprolactone (PCL) monomer,Biodegradable_Polymer,Entropic,170.21,2.13,43.4,0,3,5,0.08,0.92,0.09806978027542065
CHEM_0071,Polyglycolic acid (PGA) monomer,Biodegradable_Polymer,Entropic,116.07,-0.8,52.6,0,4,1,0.02,0.98,0.09690182832329848
CHEM_0072,Poly(butylene succinate) (PBS) monomer,Biodegradable_Polymer,Entropic,174.2,1.55,52.6,0,4,5,0.06,0.94,0.058208698044502474
CHEM_0073,Starch (glucose unit),Biodegradable_Polymer,Entropic,180.16,-3.1,110.4,1,6,1,0.01,0.99,0.08823218279070033
CHEM_0074,Cellulose (glucose unit),Biodegradable_Polymer,Entropic,180.16,-3.0,110.4,1,6,1,0.02,0.98,0.0
CHEM_0075,Chitin (NAG unit),Biodegradable_Polymer,Entropic,221.21,-3.5,129.5,1,7,2,0.03,0.97,0.07109512521876121
CHEM_0076,Gelatin (avg glycine),Biodegradable_Polymer,Entropic,75.07,-2.8,63.3,0,3,2,0.01,0.99,0.014352353411908571
CHEM_0077,Acetone,Industrial_Solvent,Entropic,58.08,-0.24,17.1,0,1,0,0.02,0.98,0.005049632476706645
CHEM_0078,Ethanol,Industrial_Solvent,Entropic,46.07,-0.31,20.2,0,1,0,0.01,0.99,0.014588038826775125
CHEM_0079,Methanol,Industrial_Solvent,Entropic,32.04,-0.77,20.2,0,1,0,0.01,0.99,0.0
CHEM_0080,Isopropanol,Industrial_Solvent,Entropic,60.1,0.05,20.2,0,1,0,0.02,0.98,0.00901640560812442
CHEM_0081,Ethyl acetate,Industrial_Solvent,Entropic,88.11,0.73,26.3,0,2,2,0.03,0.97,0.04785562857558735
CHEM_0082,Butanol,Industrial_Solvent,Entropic,74.12,0.88,20.2,0,1,2,0.03,0.97,0.10389470223707584
CHEM_0083,THF (Tetrahydrofuran),Industrial_Solvent,Entropic,72.11,0.46,9.2,1,1,0,0.05,0.95,0.024086489086317674
CHEM_0084,Dioxane,Industrial_Solvent,Entropic,88.11,-0.27,18.5,2,2,0,0.12,0.88,0.07957531985534061
CHEM_0085,DMF (Dimethylformamide),Industrial_Solvent,Entropic,73.09,-1.01,20.3,0,2,1,0.08,0.92,0.05491214782077313
CHEM_0086,DMSO (Dimethyl sulfoxide),Industrial_Solvent,Entropic,78.13,-1.35,36.3,0,2,0,0.1,0.9,0.1457701058851037
CHEM_0087,Chloroform,Industrial_Solvent,Entropic,119.38,1.97,0.0,0,3,0,0.4,0.6,0.4164375554829842
CHEM_0088,Dichloromethane,Industrial_Solvent,Entropic,84.93,1.25,0.0,0,2,0,0.35,0.65,0.323511989811648
CHEM_0089,Carbon tetrachloride,Industrial_Solvent,Entropic,153.82,2.83,0.0,0,4,0,0.7,0.3,0.7256633716556677
CHEM_0090,Hexane,Industrial_Solvent,Entropic,86.18,4.0,0.0,0,0,4,0.2,0.8,0.20485387746740197
CHEM_0091,Cyclohexane,Industrial_Solvent,Entropic,84.16,3.44,0.0,1,0,0,0.18,0.82,0.2284322495266445
CHEM_0092,Diethyl ether,Industrial_Solvent,Entropic,74.12,0.89,9.2,0,1,2,0.05,0.95,0.014897345306132424
CHEM_0093,Methyl ethyl ketone (MEK),Industrial_Solvent,Entropic,72.11,0.29,17.1,0,1,1,0.03,0.97,0.013616892670111614
CHEM_0094,Acetonitrile,Industrial_Solvent,Entropic,41.05,-0.34,23.8,0,1,0,0.04,0.96,0.02039459234339215
CHEM_0095,Formaldehyde,Industrial_Solvent,Entropic,30.03,0.35,17.1,0,1,0,0.02,0.98,0.0
CHEM_0096,Formic acid,Industrial_Solvent,Entropic,46.03,-0.54,37.3,0,2,0,0.01,0.99,0.024806013853228812
CHEM_0097,Ethylene (PE monomer),Plastic_Monomer,Mixed,28.05,1.13,0.0,0,0,0,0.15,0.85,0.16305276360899448
CHEM_0098,Propylene (PP monomer),Plastic_Monomer,Mixed,42.08,1.77,0.0,0,0,0,0.16,0.84,0.16025567283212308
CHEM_0099,Vinyl chloride (PVC monomer),Plastic_Monomer,Mixed,62.5,1.38,0.0,0,1,0,0.55,0.45,0.5382706433312427
CHEM_0100,Styrene (PS monomer),Plastic_Monomer,Mixed,104.15,2.95,0.0,1,0,1,0.32,0.68,0.24923146289747922
CHEM_0101,Ethylene terephthalate (PET),Plastic_Monomer,Mixed,192.17,1.6,52.6,2,4,4,0.45,0.55,0.428967733861732
CHEM_0102,Methyl methacrylate (PMMA),Plastic_Monomer,Mixed,100.12,1.38,26.3,0,2,2,0.25,0.75,0.2328642741736615
CHEM_0103,Acrylonitrile (PAN monomer),Plastic_Monomer,Mixed,53.06,0.25,23.8,0,1,1,0.3,0.7,0.2598861365389191
CHEM_0104,Bisphenol A (PC),Plastic_Monomer,Mixed,228.29,3.32,40.5,2,2,2,0.5,0.5,0.49193571441669953
CHEM_0105,Caprolactam (Nylon-6),Plastic_Monomer,Mixed,113.16,-0.7,40.5,1,2,0,0.2,0.8,0.22020254284072688
CHEM_0106,Adipic acid (Nylon-66),Plastic_Monomer,Mixed,146.14,0.08,74.6,0,4,4,0.1,0.9,0.1943092950605265
CHEM_0107,Hexamethylene diamine (HMDA),Plastic_Monomer,Mixed,116.2,-1.0,52.0,0,2,5,0.08,0.92,0.08872889064159191
CHEM_0108,Tetrafluoroethylene (PTFE),Plastic_Monomer,Mixed,100.02,2.8,0.0,0,4,0,0.98,0.02,0.9928775195361382
CHEM_0109,Vinylidene chloride (PVDC),Plastic_Monomer,Mixed,96.94,2.06,0.0,0,2,0,0.65,0.35,0.6462777042116916
CHEM_0110,Glyphosate,Pesticide,Mixed,169.07,-3.2,115.8,0,7,4,0.12,0.88,0.024061439235047916
CHEM_0111,"2,4-D",Pesticide,Mixed,221.04,2.81,50.4,1,5,3,0.4,0.6,0.3986743062275392
CHEM_0112,Atrazine,Pesticide,Mixed,215.68,2.7,62.3,1,6,2,0.55,0.45,0.5530115104970513
CHEM_0113,Malathion,Pesticide,Mixed,330.36,2.75,85.8,0,8,10,0.25,0.75,0.37316210562426433
CHEM_0114,Parathion,Pesticide,Mixed,291.26,3.83,67.5,1,7,4,0.48,0.52,0.4703819517609439
CHEM_0115,Carbaryl,Pesticide,Mixed,201.22,2.36,55.4,2,3,2,0.3,0.7,0.31507736711668066
CHEM_0116,Permethrin,Pesticide,Mixed,391.29,6.5,39.7,2,5,8,0.68,0.32,0.6782644115147378
CHEM_0117,Cypermethrin,Pesticide,Mixed,416.3,6.6,39.7,3,6,9,0.7,0.3,0.6415660981190233
CHEM_0118,Imidacloprid,Pesticide,Mixed,255.66,0.57,86.0,2,7,2,0.35,0.65,0.407141140725751
CHEM_0119,Thiamethoxam,Pesticide,Mixed,291.71,-0.13,120.8,2,10,3,0.3,0.7,0.3375966516343388
CHEM_0120,Fipronil,Pesticide,Mixed,437.15,4.0,50.2,2,9,2,0.6,0.4,0.6395515973521523
CHEM_0121,Chlorpyrifos,Pesticide,Mixed,350.59,4.96,44.4,2,7,3,0.58,0.42,0.5345306272602631
CHEM_0122,PBDE-47,Flame_Retardant,Locked,485.79,7.1,0.0,2,4,2,0.95,0.02,1.0
CHEM_0123,PBDE-99,Flame_Retardant,Locked,564.69,7.94,0.0,2,5,2,0.97,0.01,0.919907446860386
CHEM_0124,PBDE-209 (DecaBDE),Flame_Retardant,Locked,959.17,12.11,0.0,2,10,2,0.99,0.0,1.0
CHEM_0125,TBBPA (Tetrabromobisphenol A),Flame_Retardant,Locked,543.87,7.5,40.5,2,6,2,0.92,0.04,1.0
CHEM_0126,HBCD (Hexabromocyclododecane),Flame_Retardant,Locked,641.7,7.74,0.0,1,6,0,0.94,0.03,0.9204731837434655
CHEM_0127,Glucose,Natural_Product,Entropic,180.16,-3.1,110.4,1,6,1,0.01,0.99,0.0
CHEM_0128,Fructose,Natural_Product,Entropic,180.16,-3.05,110.4,1,6,1,0.01,0.99,0.01498256825438207
CHEM_0129,Sucrose,Natural_Product,Entropic,342.3,-3.7,189.5,2,12,3,0.01,0.99,0.0
CHEM_0130,Lactose,Natural_Product,Entropic,342.3,-4.0,189.5,2,12,3,0.01,0.99,0.0
CHEM_0131,Ascorbic acid (Vitamin C),Natural_Product,Entropic,176.12,-1.85,107.2,1,6,2,0.01,0.99,0.013428148740301375
CHEM_0132,Retinol (Vitamin A),Natural_Product,Entropic,286.45,6.3,20.2,1,1,4,0.18,0.82,0.1268848143136948
CHEM_0133,Cholesterol,Natural_Product,Entropic,386.65,7.02,20.2,4,1,5,0.45,0.55,0.473679621531759
CHEM_0134,Testosterone,Natural_Product,Entropic,288.42,3.32,37.3,4,2,0,0.2,0.8,0.1540287882883098
CHEM_0135,Estradiol,Natural_Product,Entropic,272.38,4.01,40.5,4,2,0,0.22,0.78,0.2974967202508769
CHEM_0136,Menthol,Natural_Product,Entropic,156.27,3.2,20.2,1,1,1,0.12,0.88,0.08083733538318813
CHEM_0137,Citric acid,Natural_Product,Entropic,192.12,-1.7,132.1,0,7,4,0.01,0.99,0.0
CHEM_0138,Lactic acid,Natural_Product,Entropic,90.08,-0.7,57.5,0,3,1,0.01,0.99,0.0506758608684835
CHEM_0139,Urea,Natural_Product,Entropic,60.06,-2.11,69.1,0,3,0,0.01,0.99,0.0
CHEM_0140,Glycine,Natural_Product,Entropic,75.07,-3.21,63.3,0,3,2,0.01,0.99,0.02137299673020648
CHEM_0141,Alanine,Natural_Product,Entropic,89.09,-2.96,63.3,0,3,2,0.01,0.99,0.07535713771412142
CHEM_0142,DEHP (Di(2-ethylhexyl) phthalate),Plasticizer,Mixed,390.56,7.6,52.6,2,4,14,0.65,0.35,0.5696258382719386
CHEM_0143,DBP (Dibutyl phthalate),Plasticizer,Mixed,278.34,4.9,52.6,2,4,8,0.55,0.45,0.5592316929266152
CHEM_0144,BBP (Benzyl butyl phthalate),Plasticizer,Mixed,312.36,4.91,52.6,3,4,9,0.58,0.42,0.5929941397124212
CHEM_0145,DOP (Dioctyl phthalate),Plasticizer,Mixed,390.56,8.1,52.6,2,4,16,0.68,0.32,0.7190911435888655
CHEM_0146,DINP (Diisononyl phthalate),Plasticizer,Mixed,418.61,8.8,52.6,2,4,18,0.7,0.3,0.6381524644560959
CHEM_0147,BPA (Bisphenol A),Plasticizer,Mixed,228.29,3.32,40.5,2,2,2,0.5,0.5,0.4339771693457862
CHEM_0148,BPS (Bisphenol S),Plasticizer,Mixed,250.27,1.65,74.6,2,4,2,0.48,0.52,0.5060970782808448
CHEM_0149,Adipate (DOA),Plasticizer,Mixed,370.57,7.7,52.6,0,4,18,0.45,0.55,0.46484923366165926
CHEM_0150,Sodium dodecyl sulfate (SDS),Surfactant,Mixed,288.38,1.6,74.7,0,5,11,0.15,0.85,0.16252464251729384
CHEM_0151,Triton X-100 (avg),Surfactant,Mixed,646.85,4.01,50.5,1,11,22,0.25,0.75,0.2673224104748488
CHEM_0152,Tween 20 (avg),Surfactant,Mixed,1227.54,-0.2,312.0,1,27,60,0.1,0.9,0.06599876392107543
CHEM_0153,CTAB (Cetyltrimethylammonium bromide),Surfactant,Mixed,364.45,4.4,0.0,0,2,15,0.3,0.7,0.3116126848580502
CHEM_0154,Nonylphenol,Surfactant,Mixed,220.35,5.76,20.2,1,1,8,0.65,0.35,0.6646536236649341
CHEM_0155,Octylphenol,Surfactant,Mixed,206.32,5.28,20.2,1,1,7,0.6,0.4,0.5642824290986815
CHEM_0156,Acetic acid,Industrial_Chemical,Mixed,60.05,-0.17,37.3,0,2,0,0.01,0.99,0.10328872555723784
CHEM_0157,Phenol,Industrial_Chemical,Mixed,94.11,1.46,20.2,1,1,0,0.25,0.75,0.2736916460455894
CHEM_0158,Aniline,Industrial_Chemical,Mixed,93.13,0.9,26.0,1,1,0,0.22,0.78,0.16043482513986754
CHEM_0159,Nitrobenzene,Industrial_Chemical,Mixed,123.11,1.85,45.8,1,3,0,0.4,0.6,0.4328276804316915
CHEM_0160,Pyridine,Industrial_Chemical,Mixed,79.1,0.65,12.9,1,1,0,0.15,0.85,0.10126591648863395
CHEM_0161,Thiophene,Industrial_Chemical,Mixed,84.14,1.81,0.0,1,1,0,0.2,0.8,0.23935423018712257
CHEM_0162,Furan,Industrial_Chemical,Mixed,68.07,1.34,9.2,1,1,0,0.12,0.88,0.1779297789503702
CHEM_0163,Indole,Industrial_Chemical,Mixed,117.15,2.14,15.8,2,1,0,0.3,0.7,0.2589658840824145
CHEM_0164,Quinoline,Industrial_Chemical,Mixed,129.16,2.03,12.9,2,1,0,0.35,0.65,0.3981688064622161
CHEM_0165,Phthalic anhydride,Industrial_Chemical,Mixed,148.12,1.6,43.4,2,3,0,0.28,0.72,0.3006390463468249
CHEM_0166,Maleic anhydride,Industrial_Chemical,Mixed,98.06,-0.3,43.4,1,3,0,0.15,0.85,0.19110300799972452
CHEM_0167,Terephthalic acid,Industrial_Chemical,Mixed,166.13,1.4,74.6,1,4,2,0.2,0.8,0.29483964913269733
CHEM_0168,Adiponitrile,Industrial_Chemical,Mixed,108.14,-0.5,47.6,0,2,4,0.18,0.82,0.16773059419985653
CHEM_0169,Cyclohexanone,Industrial_Chemical,Mixed,98.14,0.81,17.1,1,1,0,0.1,0.9,0.06231319178212549
CHEM_0170,Furfural,Industrial_Chemical,Mixed,96.08,0.41,29.5,1,2,1,0.12,0.88,0.07552427851872383
CHEM_0171,Levulinic acid,Industrial_Chemical,Mixed,116.12,-0.37,54.4,0,3,3,0.05,0.95,0.009209485751728128
CHEM_0172,Glycerol,Industrial_Chemical,Mixed,92.09,-1.76,60.7,0,3,2,0.01,0.99,0.0061449145292947985
CHEM_0173,Ethylene glycol,Industrial_Chemical,Mixed,62.07,-1.36,40.5,0,2,1,0.02,0.98,0.03705759874083221
CHEM_0174,Propylene glycol,Industrial_Chemical,Mixed,76.09,-1.07,40.5,0,2,2,0.02,0.98,0.03383453996650097
CHEM_0175,Butylene glycol,Industrial_Chemical,Mixed,90.12,-0.8,40.5,0,2,3,0.03,0.97,0.07135916245180121
CHEM_0176,Triethylene glycol,Industrial_Chemical,Mixed,150.17,-1.75,61.7,0,5,7,0.05,0.95,0.0506500945938954
CHEM_0177,Diethylene glycol,Industrial_Chemical,Mixed,106.12,-1.47,50.9,0,3,4,0.04,0.96,0.11267670385786588
CHEM_0178,Methylamine,Industrial_Chemical,Mixed,31.06,-0.57,26.0,0,1,0,0.02,0.98,0.0067671583381022134
CHEM_0179,Dimethylamine,Industrial_Chemical,Mixed,45.08,0.1,12.0,0,1,0,0.03,0.97,0.16600845832948097
CHEM_0180,Trimethylamine,Industrial_Chemical,Mixed,59.11,0.16,3.2,0,1,0,0.05,0.95,0.08128336738825036
CHEM_0181,Ethanolamine,Industrial_Chemical,Mixed,61.08,-1.31,46.2,0,2,1,0.02,0.98,0.0
CHEM_0182,Diethanolamine,Industrial_Chemical,Mixed,105.14,-2.18,72.5,0,3,4,0.04,0.96,0.0
CHEM_0183,Triethanolamine,Industrial_Chemical,Mixed,149.19,-2.9,98.7,0,4,8,0.06,0.94,0.08412362076215932
CHEM_0184,Hydroquinone,Industrial_Chemical,Mixed,110.11,0.59,40.5,1,2,0,0.18,0.82,0.1688268607337075
CHEM_0185,Catechol,Industrial_Chemical,Mixed,110.11,0.88,40.5,1,2,0,0.16,0.84,0.19570002470460462
CHEM_0186,Resorcinol,Industrial_Chemical,Mixed,110.11,0.8,40.5,1,2,0,0.17,0.83,0.19366188122867728
CHEM_0187,p-Cresol,Industrial_Chemical,Mixed,108.14,1.94,20.2,1,1,0,0.28,0.72,0.2763585543671564
CHEM_0188,"2,4-Dichlorophenol",Industrial_Chemical,Mixed,163.0,3.08,20.2,1,3,0,0.52,0.48,0.4776603140965798
CHEM_0189,"2,4,5-Trichlorophenol",Industrial_Chemical,Mixed,197.45,3.72,20.2,1,4,0,0.65,0.35,0.5742576387657068
CHEM_0190,Pentachlorophenol,Industrial_Chemical,Mixed,266.34,5.12,20.2,1,6,0,0.91,0.05,0.9276742523966489
CHEM_0191,Benzo[a]quinone,Industrial_Chemical,Mixed,108.1,0.2,34.1,1,2,0,0.15,0.85,0.19281993971617364
CHEM_0192,Anthroquinone,Industrial_Chemical,Mixed,208.21,3.39,34.1,3,2,0,0.45,0.55,0.46070468720651014
CHEM_0193,Coumarin,Industrial_Chemical,Mixed,146.14,1.39,30.2,2,2,0,0.25,0.75,0.1877130610644006
CHEM_0194,Vanillin,Industrial_Chemical,Mixed,152.15,1.21,46.5,1,3,2,0.12,0.88,0.1286590462925591
CHEM_0195,Eugenol,Industrial_Chemical,Mixed,164.2,2.27,29.5,1,2,3,0.18,0.82,0.19926586898644189
CHEM_0196,Limonene,Industrial_Chemical,Mixed,136.23,4.57,0.0,2,0,1,0.28,0.72,0.23580712818994337
CHEM_0197,Alpha-pinene,Industrial_Chemical,Mixed,136.23,4.83,0.0,2,0,0,0.3,0.7,0.30768625529727645
CHEM_0198,Camphor,Industrial_Chemical,Mixed,152.23,2.38,17.1,2,1,0,0.22,0.78,0.22291043592229998
CHEM_0199,Thymol,Industrial_Chemical,Mixed,150.22,3.3,20.2,1,1,1,0.28,0.72,0.22285148510846886
CHEM_0200,Carvacrol,Industrial_Chemical,Mixed,150.22,3.52,20.2,1,1,1,0.3,0.7,0.3178893680174142
CHEM_0201,Salicylic acid,Industrial_Chemical,Mixed,138.12,2.26,57.5,1,3,1,0.18,0.82,0.20803922631841176
CHEM_0202,Benzoic acid,Industrial_Chemical,Mixed,122.12,1.87,37.3,1,2,1,0.15,0.85,0.20415256215876387
CHEM_0203,Cinnamic acid,Industrial_Chemical,Mixed,148.16,2.13,37.3,1,2,2,0.17,0.83,0.22269010260174518
CHEM_0204,Gallic acid,Industrial_Chemical,Mixed,170.12,0.7,97.9,1,5,1,0.08,0.92,0.011116531602145402
CHEM_0205,Tannic acid (avg),Industrial_Chemical,Mixed,1701.2,5.0,530.0,12,46,20,0.05,0.95,0.0031087480042439053
CHEM_0206,Naphthoquinone,Industrial_Chemical,Mixed,158.15,1.7,34.1,2,2,0,0.35,0.65,0.375751763360433
