material_name,composition,category,base_nrci,final_nrci,structural_optimization,resonance_strength,ubp_energy_cu,compressive_strength_mpa,tensile_strength_mpa,fracture_toughness_mpa_m_half,elastic_modulus_gpa,hardness_gpa,thermal_conductivity_w_mk,thermal_expansion_coeff,specific_heat_j_kgk,electrical_resistivity_ohm_m,dielectric_constant,confidence_score,uncertainty_mechanical,uncertainty_thermal,uncertainty_electrical
Silicon Carbide (CVD),SiC,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9529414964361822,1110.0186550597437,3731.3329030464315,337.4045537123243,17.945634851389595,574.3253,39.97,19.990000000000002,5.0099999999999995e-06,653.137941005812,100.1,1.0,0.999,0.0805,0.0965,0.1205
Silicon Nitride (Sintered),Si3N4,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.965718903183117,1124.902212870403,2872.4364929736294,312.9224947000922,17.936769063237726,574.3253,30.979,9.995000000000001,5.0099999999999995e-06,686.220011295412,100.1,1.0,0.999,0.0805,0.0965,0.1205
Silicon Nitride (Hot Pressed),Si3N4,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.956383133642559,1114.0275910933965,2740.5586605729604,262.0534642447674,17.645674876398434,574.3253,30.979,9.995000000000001,5.0099999999999995e-06,667.4264316275705,100.1,1.0,0.999,0.0805,0.0965,0.1205
Silicon Nitride (RBSN),Si3N4,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9356805428808953,1089.9125094861247,2934.0126151580926,315.37889953110357,17.007277121119515,574.3253,30.979,9.995000000000001,5.0099999999999995e-06,745.4520578957329,100.1,1.0,0.999,0.0805,0.0965,0.1205
Boron Carbide (B4C),B4C,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.963420203837193,1122.2246097164928,3812.7616578738603,344.4881395405227,16.79054410686361,574.3253,39.97,19.990000000000002,5.0099999999999995e-06,699.4146840408985,100.1,1.0,0.999,0.0805,0.0965,0.1205
Boron Nitride (h-BN),BN,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9534623890460813,1110.625408482103,3205.749591397342,315.6044997411779,17.201083234849683,574.3253,30.979,9.995000000000001,5.0099999999999995e-06,742.4057774750016,100.1,1.0,0.999,0.0805,0.0965,0.1205
Boron Nitride (c-BN),BN,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.934504836843532,1088.5430071197989,3077.8331540811014,315.2365375803621,16.88541010380693,574.3253,30.979,9.995000000000001,5.0099999999999995e-06,661.972310779895,100.1,1.0,0.999,0.0805,0.0965,0.1205
Aluminum Nitride (AlN),AlN,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9474994853581835,1103.6796155277143,3213.02317482536,321.4694905532435,17.95268909431957,574.3253,30.979,9.995000000000001,5.0099999999999995e-06,653.3448900723519,100.1,1.0,0.999,0.0805,0.0965,0.1205
Titanium Carbide (TiC),TiC,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9336592650424824,1087.558056336495,3214.268472695768,299.28503340789854,16.786811583818487,574.3253,30.979,9.995000000000001,5.0099999999999995e-06,722.1437491400343,100.1,1.0,0.999,0.0805,0.0965,0.1205
Titanium Diboride (TiB2),TiB2,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9529169371315928,1109.9900475467416,3072.461213258521,318.4200274645666,18.06371665963084,574.3253,30.979,9.995000000000001,5.0099999999999995e-06,686.8402703752035,100.1,1.0,0.999,0.0805,0.0965,0.1205
Tungsten Carbide (WC),WC,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9517948599927387,1108.6830139447818,2961.141652264352,323.2939115039582,17.258439853057116,574.3253,30.979,9.995000000000001,5.0099999999999995e-06,671.5010277429516,100.1,1.0,0.999,0.0805,0.0965,0.1205
Mullite,3Al2O3-2SiO2,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.941482420127421,1096.670733366704,3011.1794619235975,283.00622612093713,17.312501356308385,574.3253,30.979,29.985000000000003,5.0099999999999995e-06,739.0061530675376,1.0009999999999999e-07,1.0,0.999,0.0805,0.0965,0.1205
Cordierite,2MgO-2Al2O3-5SiO2,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9508026950110158,1107.5273064404614,2986.752062810631,318.49941442880163,17.037197390588695,574.3253,30.979,29.985000000000003,5.0099999999999995e-06,725.9348884326917,1.0009999999999999e-07,1.0,0.999,0.0805,0.0965,0.1205
Spinel,MgAl2O4,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.949430155182405,1105.9285253817416,2971.737536161392,295.7265912502373,18.09708181200388,574.3253,30.979,9.995000000000001,5.0099999999999995e-06,658.8928542978346,100.1,1.0,0.999,0.0805,0.0965,0.1205
Forsterite,Mg2SiO4,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9375664594897031,1092.1092892732288,3118.764028593478,282.6087782646676,18.173012746540437,574.3253,30.979,9.995000000000001,5.0099999999999995e-06,699.6540005756362,100.1,1.0,0.999,0.0805,0.0965,0.1205
Steatite,Mg3Si4O10(OH)2,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9594528368202964,1117.603285724733,3217.4475377621616,343.6807456797095,17.725861887088108,574.3253,30.979,9.995000000000001,5.0099999999999995e-06,714.4277801506303,100.1,1.0,0.999,0.0805,0.0965,0.1205
Urania (UO2),UO2,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9298122985417957,1083.076978959634,3091.0805404883863,307.01665828359654,17.564069057797433,574.3253,30.979,9.995000000000001,5.0099999999999995e-06,731.9690913337427,100.1,1.0,0.999,0.0805,0.0965,0.1205
Thoria (ThO2),ThO2,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.936496580384891,1090.863057716054,3247.032208601749,319.67839307378244,17.241371072874326,574.3253,30.979,9.995000000000001,5.0099999999999995e-06,734.680307477973,100.1,1.0,0.999,0.0805,0.0965,0.1205
Hafnia (HfO2),HfO2,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9576229054688439,1115.4717194688953,3097.1571758239616,290.5850103600285,16.581435750837052,574.3253,30.979,9.995000000000001,5.0099999999999995e-06,679.119828307912,100.1,1.0,0.999,0.0805,0.0965,0.1205
Barium Titanate (Pure),BaTiO3,Functional Ceramic,0.965,0.98,0.78,0.9029536258897579,1022.938103697989,2983.418505000934,284.04790844951737,14.960302790765107,562.796,30.58,29.7,5.199999999999999e-06,707.5502443067421,1.02e-07,1.0,0.98,0.16,0.19,0.235
Barium Titanate (Sr-doped),Ba0.8Sr0.2TiO3,Functional Ceramic,0.999,0.999,0.78,0.949829790448242,1096.9052345204097,2963.0805256476133,324.14381780381285,16.00582064074588,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,669.8453616295255,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Barium Titanate (Ca-doped),Ba0.9Ca0.1TiO3,Functional Ceramic,0.999,0.999,0.78,0.9338933754998758,1078.5011613357788,3090.640106449914,288.4132705639747,16.249308180684174,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,703.32078809275,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Lead Zirconate Titanate (PZT-5H),Pb(Zr0.52Ti0.48)O3,Functional Ceramic,0.999,0.999,0.78,0.9256350982658692,1068.9641394217495,3159.101559586534,316.03382760550204,17.362742806200117,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,703.7227822332889,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Lead Zirconate Titanate (PZT-4),Pb(Zr0.52Ti0.48)O3,Functional Ceramic,0.999,0.999,0.78,0.9189832818441657,1061.2823291380437,2939.390723544004,297.080193543931,17.004189912552846,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,653.7062089751122,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Lead Zirconate Titanate (PZT-8),Pb(Zr0.52Ti0.48)O3,Functional Ceramic,0.999,0.999,0.78,0.9154864849735532,1057.2440742527983,3006.7505424880433,319.9115839750067,16.6179330891506,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,703.1432683675815,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Lead Lanthanum Zirconate Titanate (PLZT),"(Pb,La)(Zr,Ti)O3",Functional Ceramic,0.999,0.999,0.78,0.9259349828730065,1069.3104593609944,3093.406473228465,338.59531117679023,16.959035598229907,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,748.9953625245017,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Zinc Oxide (ZnO),ZnO,Functional Ceramic,0.985,0.995,0.78,0.9255505181238308,1064.5867169563928,3085.2828797119737,307.17557365084105,16.580664747709136,568.3489999999999,30.895,9.975000000000001,5.050000000000001e-06,678.0462692330483,10049999999.999998,9.06895,0.995,0.1525,0.1825,0.22749999999999998
Zinc Oxide (Al-doped),ZnO,Functional Ceramic,0.985,0.995,0.78,0.918087501421862,1056.0026058854544,2882.7069637612735,297.1273768263772,15.723317678973462,568.3489999999999,30.895,9.975000000000001,5.050000000000001e-06,657.7313922092184,10049999999.999998,9.06895,0.995,0.1525,0.1825,0.22749999999999998
Yttria-Stabilized Zirconia (8YSZ),ZrO2,Functional Ceramic,0.98,0.99,0.78,0.9225025826088568,1055.7488556408803,3038.0576678036027,273.6147953201633,15.021779334623561,566.498,30.79,9.95,5.0999999999999995e-06,742.8046743791751,10100000000.0,9.1048925,0.99,0.155,0.185,0.22999999999999998
Scandia-Stabilized Zirconia (ScSZ),ZrO2,Functional Ceramic,0.98,0.99,0.78,0.9261800468206076,1059.9574927833762,2985.911041560896,293.4863666601395,15.53445218454445,566.498,30.79,9.95,5.0999999999999995e-06,739.3934630096118,10100000000.0,9.1048925,0.99,0.155,0.185,0.22999999999999998
Bismuth Ferrite (BFO),BiFeO3,Functional Ceramic,0.999,0.999,0.78,0.9481673687929112,1094.985396846281,3031.3745634551715,279.4057255362749,16.531786324256842,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,749.0536265963751,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Sodium Bismuth Titanate (NBT),Na0.5Bi0.5TiO3,Functional Ceramic,0.999,0.999,0.78,0.9377256648167519,1082.926857659637,3073.4796559082115,305.8732649003506,17.374349908592794,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,725.1601912612497,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Potassium Sodium Niobate (KNN),"(K,Na)NbO3",Functional Ceramic,0.999,0.999,0.78,0.9183357648476042,1060.5345480196668,3134.343055321109,321.92530082258725,16.17870199974352,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,703.732728749411,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Lithium Niobate (LiNbO3),LiNbO3,Functional Ceramic,0.999,0.999,0.78,0.9384019836214231,1083.7079003732988,3189.5678817032563,331.30228647885787,16.856462121337326,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,678.000001657258,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Hydroxyapatite,Ca10(PO4)6(OH)2,Bioceramic,0.999,0.999,0.78,0.9438087078474715,1089.9518234054055,2952.804681613736,322.83199171208486,17.216107906889658,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,715.7478101213209,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Bioactive Glass (45S5),SiO2-Na2O-CaO-P2O5,Bioceramic,0.999,0.999,0.78,0.916305695088858,1058.1901341391972,3049.8486371548756,293.9854137272426,15.886878007451255,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,665.0462187660241,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Silicon-doped Hydroxyapatite,Ca10(PO4)6-x(SiO4)x(OH)2-x,Bioceramic,0.999,0.999,0.78,0.9248880990427161,1068.1014718508866,2936.0253461115017,276.1278688327109,16.52137759363721,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,720.8068383815754,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Tin Oxide (SnO2),SnO2,Functional Ceramic,0.999,0.999,0.78,0.9388933694537287,1084.275374353422,2994.292922137324,284.804716077102,16.91531662060019,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,703.096965472888,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Indium Tin Oxide (ITO),In2O3,Functional Ceramic,0.999,0.999,0.78,0.9440171567929622,1090.1925494194118,2938.776805090044,275.57779636586906,16.322962160782556,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,690.3820085761452,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Titanium Dioxide (Rutile),TiO2,Functional Ceramic,0.999,0.999,0.78,0.9320448400325941,1076.3663912426011,3034.8557389423936,321.0208577981358,16.440238440343954,569.8298,30.979,29.985000000000003,5.0099999999999995e-06,651.6764653209967,1.0009999999999999e-07,1.0,0.999,0.1505,0.1805,0.22549999999999998
Titanium Dioxide (Anatase),TiO2,Functional Ceramic,0.999,0.999,0.78,0.9218130834003836,1064.5503084864326,3091.888829692352,297.55728584933854,16.974961061282034,569.8298,30.979,29.985000000000003,5.0099999999999995e-06,677.1937279969372,1.0009999999999999e-07,1.0,0.999,0.1505,0.1805,0.22549999999999998
Ferrite (MnZn),MnZnFe2O4,Functional Ceramic,0.999,0.999,0.78,0.9355166966821145,1080.3758440631598,3164.6058417256477,309.46641762146686,16.438510828551905,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,682.0293799838199,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Ferrite (NiZn),NiZnFe2O4,Functional Ceramic,0.999,0.999,0.78,0.9379610190772208,1083.1986551152143,3095.615668515492,308.7797251002862,15.985754338732415,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,684.269322916413,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Garnet (YIG),Y3Fe5O12,Functional Ceramic,0.999,0.999,0.78,0.9483273311401885,1095.17012840326,2937.5633408350604,306.3720926420276,16.807772892361317,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,651.5775186832908,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
SiC-Fiber/SiC-Matrix (CVI),SiC,Ceramic Composite,0.999,0.999,0.91,0.966377151531568,1141.115535317203,3776.5571575343256,354.13914909876,19.029288878081978,581.5181,39.97,19.990000000000002,5.0099999999999995e-06,662.9431324287164,100.1,1.0,0.999,0.1005,0.1205,0.15050000000000002
SiC-Fiber/SiC-Matrix (PIP),SiC,Ceramic Composite,0.999,0.999,0.91,0.9694672599340901,1144.7643909408523,3813.4721321619368,356.32208784210803,18.46569529506821,581.5181,39.97,19.990000000000002,5.0099999999999995e-06,726.3958705705465,100.1,1.0,0.999,0.1005,0.1205,0.15050000000000002
C-Fiber/SiC-Matrix,SiC,Ceramic Composite,0.999,0.999,0.91,0.9556534245327979,1128.4527654499693,3896.7341096218906,390.919672205464,19.379686629522535,581.5181,39.97,19.990000000000002,5.0099999999999995e-06,732.6452439096774,100.1,1.0,0.999,0.1005,0.1205,0.15050000000000002
C-Fiber/C-Matrix (C/C),Carbon,Ceramic Composite,0.999,0.999,0.91,0.989172089602479,1168.0322085002201,3208.000589463121,327.66995077807286,18.163622125993562,581.5181,30.979,9.995000000000001,5.0099999999999995e-06,704.9998769405523,100.1,1.0,0.999,0.1005,0.1205,0.15050000000000002
Al2O3-Fiber/Al2O3-Matrix,Al2O3,Ceramic Composite,0.999,0.999,0.91,0.9720195144701199,1147.778139037578,3075.327826966585,313.1115914053263,18.37938755813502,581.5181,30.979,29.985000000000003,5.0099999999999995e-06,679.3469356231468,1.0009999999999999e-07,1.0,0.999,0.1005,0.1205,0.15050000000000002
Alumina-Zirconia (ZTA 10%),Al2O3,Ceramic Composite,0.999,0.999,0.91,0.9794946182239148,1156.6048761019265,3106.825732841736,315.63795108165465,17.78916260257729,581.5181,30.979,29.985000000000003,5.0099999999999995e-06,715.1417322748842,1.0009999999999999e-07,1.0,0.999,0.1005,0.1205,0.15050000000000002
Alumina-Zirconia (ZTA 20%),Al2O3,Ceramic Composite,0.999,0.999,0.91,0.9877748734965168,1166.38235057241,3274.7865696399995,353.751584832744,18.635094779836564,581.5181,30.979,29.985000000000003,5.0099999999999995e-06,673.1454530133034,1.0009999999999999e-07,1.0,0.999,0.1005,0.1205,0.15050000000000002
Alumina-SiC Whisker (15%),Al2O3,Ceramic Composite,0.999,0.999,0.91,0.968562283176729,1143.6957780961786,3289.145790981375,332.89094198434304,18.890136716958086,581.5181,30.979,29.985000000000003,5.0099999999999995e-06,666.1231092816352,1.0009999999999999e-07,1.0,0.999,0.1005,0.1205,0.15050000000000002
Alumina-SiC Whisker (30%),Al2O3,Ceramic Composite,0.999,0.999,0.91,0.9553238930080442,1128.0636486939727,3156.9945810891713,299.570674955774,19.14050877522967,581.5181,30.979,29.985000000000003,5.0099999999999995e-06,660.7694035643292,1.0009999999999999e-07,1.0,0.999,0.1005,0.1205,0.15050000000000002
Alumina-Graphene (0.5wt%),Al2O3,Ceramic Composite,0.999,0.999,0.91,0.9856876866116492,1163.9177627293943,3040.0369380114334,311.592846401081,18.266756829087335,581.5181,30.979,29.985000000000003,5.0099999999999995e-06,734.5840744928289,1.0009999999999999e-07,1.0,0.999,0.1005,0.1205,0.15050000000000002
Alumina-Graphene (1.0wt%),Al2O3,Ceramic Composite,0.999,0.999,0.91,0.9720566273937358,1147.8219626458163,3307.607514231542,351.24322152381,18.40743464944574,581.5181,30.979,29.985000000000003,5.0099999999999995e-06,727.5370611057438,1.0009999999999999e-07,1.0,0.999,0.1005,0.1205,0.15050000000000002
Zirconia-Toughened Alumina (ZTA),Al2O3,Ceramic Composite,0.999,0.999,0.91,0.980628612241387,1157.9439166496502,3326.86756901383,338.92925812565517,18.69875256500061,581.5181,30.979,29.985000000000003,5.0099999999999995e-06,651.9287006704474,1.0009999999999999e-07,1.0,0.999,0.1005,0.1205,0.15050000000000002
Alumina-Toughened Zirconia (ATZ),ZrO2,Ceramic Composite,0.98,0.99,0.91,0.952137612171098,1114.1723910103756,3267.0333363906343,325.6726339030082,16.836841806548513,578.081,30.79,9.95,5.0999999999999995e-06,725.6434835634984,10100000000.0,9.1048925,0.99,0.10500000000000001,0.125,0.15500000000000003
Si3N4-SiC Nanocomposite,Si3N4,Ceramic Composite,0.999,0.999,0.91,0.9635678006293829,1137.7982032035866,2930.0591885194167,281.681933273207,18.89714336873554,581.5181,30.979,9.995000000000001,5.0099999999999995e-06,722.7299853803785,100.1,1.0,0.999,0.1005,0.1205,0.15050000000000002
Si3N4-TiN Composite,Si3N4,Ceramic Composite,0.999,0.999,0.91,0.96526935297117,1139.807426836711,2869.4919093929107,303.8208208067187,17.700335099751285,581.5181,30.979,9.995000000000001,5.0099999999999995e-06,722.7052394608837,100.1,1.0,0.999,0.1005,0.1205,0.15050000000000002
WC-Co (6%),WC,Cermet,0.999,0.999,0.88,0.9492186345423468,1115.1648331075778,3006.5217972239893,284.5695189313739,18.42203026362138,578.8208,30.979,9.995000000000001,5.0099999999999995e-06,724.1612194921225,100.1,1.0,0.999,0.1205,0.1445,0.1805
WC-Co (12%),WC,Cermet,0.999,0.999,0.88,0.9497287750691045,1115.7641584417854,3211.4064953732423,335.04917567857115,18.35876017873553,578.8208,30.979,9.995000000000001,5.0099999999999995e-06,740.5394071084286,100.1,1.0,0.999,0.1205,0.1445,0.1805
TiC-NiMo,TiC,Cermet,0.999,0.999,0.88,0.9467035185790841,1112.2100145111538,3056.8073278038673,318.25839455578233,18.739432634905324,578.8208,30.979,9.995000000000001,5.0099999999999995e-06,681.6098615260138,100.1,1.0,0.999,0.1205,0.1445,0.1805
MAX Phase (Ti3SiC2),Ti3SiC2,Novel Composite,0.999,0.999,0.78,0.9358959088680807,1080.81377498085,3471.6204574317558,313.27940251371876,16.471623546453806,569.8298,39.97,19.990000000000002,5.0099999999999995e-06,683.3663517761502,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
MAX Phase (Ti2AlC),Ti2AlC,Novel Composite,0.999,0.999,0.78,0.9338352002995763,1078.433978054764,3168.3760209320253,310.7217192335696,16.855692420079226,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,747.7334961169232,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
MAX Phase (Cr2AlC),Cr2AlC,Novel Composite,0.999,0.999,0.78,0.9151578580635086,1056.8645614374946,3164.354709653897,296.75649971026576,16.29090475720204,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,697.4426360207035,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
MXene (Ti3C2Tx),Ti3C2Tx,Novel Composite,0.999,0.999,0.78,0.9367339450309695,1081.781576015345,2900.8379109465754,274.33803938429685,16.440231689259228,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,738.9388939615559,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Diamond-SiC Composite,SiC,Ceramic Composite,0.999,0.999,0.91,0.9844184388219698,1162.4190120928806,3774.0394795766047,396.61029327799764,19.188833249380618,581.5181,39.97,19.990000000000002,5.0099999999999995e-06,680.5914985110298,100.1,1.0,0.999,0.1005,0.1205,0.15050000000000002
B4C-TiB2 Composite,B4C,Ceramic Composite,0.999,0.999,0.91,0.9666612410281538,1141.4509933083823,3783.4971603516315,380.2839311947375,18.291570665228175,581.5181,39.97,19.990000000000002,5.0099999999999995e-06,667.2617169181674,100.1,1.0,0.999,0.1005,0.1205,0.15050000000000002
Al2O3-Cu Interpenetrating,Al2O3,Ceramic Composite,0.999,0.999,0.91,0.9804648317440678,1157.7505216903667,3220.9169952527423,292.3277368101044,18.268808170220954,581.5181,30.979,29.985000000000003,5.0099999999999995e-06,713.8386781005372,1.0009999999999999e-07,1.0,0.999,0.1005,0.1205,0.15050000000000002
SiC-Al Interpenetrating,SiC,Ceramic Composite,0.999,0.999,0.91,0.9870787692247234,1165.5603781183993,3718.1013470394164,355.2978164602314,17.851402517461082,581.5181,39.97,19.990000000000002,5.0099999999999995e-06,654.5588691753588,100.1,1.0,0.999,0.1005,0.1205,0.15050000000000002
Glass-Ceramic (LAS),Li2O-Al2O3-SiO2,Ceramic Composite,0.999,0.999,0.91,0.9644456336750122,1138.8347642648605,3252.9202660912297,314.93315544811696,19.330502230559826,581.5181,30.979,29.985000000000003,5.0099999999999995e-06,712.467778273784,1.0009999999999999e-07,1.0,0.999,0.1005,0.1205,0.15050000000000002
Glass-Ceramic (MAS),MgO-Al2O3-SiO2,Ceramic Composite,0.999,0.999,0.91,0.9841962062841011,1162.1565959119796,3052.6971608921444,326.146610745426,18.677454199891248,581.5181,30.979,29.985000000000003,5.0099999999999995e-06,712.7618084283166,1.0009999999999999e-07,1.0,0.999,0.1005,0.1205,0.15050000000000002
Zirconia-CNT (1wt%),ZrO2,Ceramic Composite,0.98,0.99,0.91,0.9510572685835593,1112.9081945511093,3221.993945643561,332.89068810387096,17.658549787459314,578.081,30.79,9.95,5.0999999999999995e-06,654.0037459277561,10100000000.0,9.1048925,0.99,0.10500000000000001,0.125,0.15500000000000003
Mullite-Cordierite Composite,3Al2O3-2SiO2,Ceramic Composite,0.999,0.999,0.91,0.9737544168912249,1149.8267430446624,3197.593413033164,326.461412262514,19.198918668659253,581.5181,30.979,29.985000000000003,5.0099999999999995e-06,726.2341815737437,1.0009999999999999e-07,1.0,0.999,0.1005,0.1205,0.15050000000000002
SiAlON (alpha),Si-Al-O-N,Ceramic Composite,0.999,0.999,0.91,0.9660208226352245,1140.6947757424805,3040.816764433205,332.6205996324857,18.72582194088368,581.5181,30.979,9.995000000000001,5.0099999999999995e-06,706.3357138820047,100.1,1.0,0.999,0.1005,0.1205,0.15050000000000002
SiAlON (beta),Si-Al-O-N,Ceramic Composite,0.999,0.999,0.91,0.9777407716449185,1154.5339024922093,3057.5386431056236,305.7472360630702,18.63747352505307,581.5181,30.979,9.995000000000001,5.0099999999999995e-06,693.3351177908254,100.1,1.0,0.999,0.1005,0.1205,0.15050000000000002
