material_name,composition,category,base_nrci,final_nrci,compressive_strength_mpa,fracture_toughness_mpa_m_half,elastic_modulus_gpa,hardness_gpa,thermal_conductivity_w_mk,thermal_expansion_coeff,electrical_resistivity_ohm_m,band_gap_ev,quantum_coherence,ubp_quantum_energy_cu,grain_size_um,porosity_fraction,num_toggle_steps,hierarchical_grid_cells
Hafnia (HfO2),HfO2,Traditional Ceramic,0.95,0.8109652076318744,1611.4426077160497,-8.221666666666653,198.88921717171718,12.10350290286415,15.976623831780676,9.512278338945005e-06,15644241911258.281,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Barium Titanate (Pure),BaTiO3,Functional Ceramic,0.95,0.9165628507295173,2058.424297241512,7.459583333333311,224.78703914141408,13.679527826917498,18.056976731531098,8.667497194163861e-06,14254883850012.598,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Barium Titanate (Sr-doped),Ba0.8Sr0.2TiO3,Functional Ceramic,0.95,0.9259203142536475,2100.6689815586415,8.849166666666653,227.08195707070703,13.819186206662895,18.241325792795017,8.59263748597082e-06,14131766827712.762,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Barium Titanate (Ca-doped),Ba0.9Ca0.1TiO3,Functional Ceramic,0.95,0.9234371492704825,2089.4167972415116,8.480416666666645,226.47296085858582,13.78212543722521,18.192405577137276,8.61250280583614e-06,14164438061516.469,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Lead Zirconate Titanate (PZT-5H),Pb(Zr0.52Ti0.48)O3,Functional Ceramic,0.95,0.9326094276094276,2131.130284027777,9.842499999999987,228.72246212121212,13.919019962978641,18.37310635113181,8.539124579124578e-06,14043757538008.77,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Lead Zirconate Titanate (PZT-4),Pb(Zr0.52Ti0.48)O3,Functional Ceramic,0.95,0.9292620650953983,2115.859446778549,9.345416666666647,227.90152146464644,13.869061208245132,18.307160794883576,8.565903479236812e-06,14087799099509.13,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Lead Zirconate Titanate (PZT-8),Pb(Zr0.52Ti0.48)O3,Functional Ceramic,0.95,0.9259203142536475,2100.6689815586415,8.849166666666653,227.08195707070703,13.819186206662895,18.241325792795017,8.59263748597082e-06,14131766827712.762,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Lead Lanthanum Zirconate Titanate (PLZT),"(Pb,La)(Zr,Ti)O3",Functional Ceramic,0.95,0.9374270482603815,2153.2048958526225,10.557916666666646,229.90398358585855,13.99092204334531,18.46801709721581,8.500583613916947e-06,13980371652764.748,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Zinc Oxide (ZnO),ZnO,Functional Ceramic,0.95,0.9474663299663298,2199.5709168402773,12.048749999999979,232.3661174242424,14.140756430970205,18.66579848888067,8.420269360269362e-06,13848283884912.031,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Zinc Oxide (Al-doped),ZnO,Functional Ceramic,0.95,0.9538945005611671,2229.5185382716045,13.003333333333309,233.94262626262622,14.236695665751823,18.792438278792407,8.368843995510662e-06,13763707843506.055,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Yttria-Stabilized Zirconia (8YSZ),ZrO2,Functional Ceramic,0.95,0.894648569023569,1961.1704510525171,4.205312499999999,219.41256155303032,13.35246130205799,17.625248918716544,8.842811447811447e-06,14543212102911.338,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Scandia-Stabilized Zirconia (ScSZ),ZrO2,Functional Ceramic,0.95,0.8841308922558923,1915.3296367296007,2.6434374999999966,216.83310132575758,13.19548695828719,17.418042784939093,8.926952861952863e-06,14681594159310.422,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Bismuth Ferrite (BFO),BiFeO3,Functional Ceramic,0.95,0.9652062289562289,2282.709413585069,14.683124999999984,236.71682765151513,14.405521080427555,19.015287826164368,8.278350168350168e-06,1.0554896464646465e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Sodium Bismuth Titanate (NBT),Na0.5Bi0.5TiO3,Functional Ceramic,0.95,0.9403900112233445,2166.8378477044753,10.997916666666661,230.63065025252524,14.035143707216717,18.526389693526067,8.476879910213243e-06,13941387672090.496,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Potassium Sodium Niobate (KNN),"(K,Na)NbO3",Functional Ceramic,0.95,0.9474663299663298,2199.5709168402773,12.048749999999979,232.3661174242424,14.140756430970205,18.66579848888067,8.420269360269362e-06,13848283884912.031,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Lithium Niobate (LiNbO3),LiNbO3,Functional Ceramic,0.95,0.9374270482603815,2153.2048958526225,10.557916666666646,229.90398358585855,13.99092204334531,18.46801709721581,8.500583613916947e-06,13980371652764.748,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Hydroxyapatite,Ca10(PO4)6(OH)2,Bioceramic,0.95,0.9326094276094276,2131.130284027777,9.842499999999987,228.72246212121212,13.919019962978641,18.37310635113181,8.539124579124578e-06,14043757538008.77,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Bioactive Glass (45S5),SiO2-Na2O-CaO-P2O5,Bioceramic,0.95,0.9538945005611671,2229.5185382716045,13.003333333333309,233.94262626262622,14.236695665751823,18.792438278792407,8.368843995510662e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Silicon-doped Hydroxyapatite,Ca10(PO4)6-x(SiO4)x(OH)2-x,Bioceramic,0.95,0.9374270482603815,2153.2048958526225,10.557916666666646,229.90398358585855,13.99092204334531,18.46801709721581,8.500583613916947e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Tin Oxide (SnO2),SnO2,Functional Ceramic,0.95,0.908263187429854,2021.3141787229936,6.227083333333318,222.7515467171717,13.5556569161868,17.893467129366577,8.733894500561167e-06,14364083295878.54,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Indium Tin Oxide (ITO),In2O3,Functional Ceramic,0.95,0.894648569023569,1961.1704510525171,4.205312499999999,219.41256155303032,13.35246130205799,17.625248918716544,8.842811447811447e-06,14543212102911.338,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Titanium Dioxide (Rutile),TiO2,Functional Ceramic,0.95,0.908263187429854,2021.3141787229936,6.227083333333318,222.7515467171717,13.5556569161868,17.893467129366577,8.733894500561167e-06,14364083295878.54,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Titanium Dioxide (Anatase),TiO2,Functional Ceramic,0.95,0.9615151515151513,2265.284024999999,14.134999999999968,235.81159090909085,14.350432445178658,18.942570827635826,8.307878787878789e-06,13663442226544.629,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Ferrite (MnZn),MnZnFe2O4,Functional Ceramic,0.95,0.9259203142536475,2100.6689815586415,8.849166666666653,227.08195707070703,13.819186206662895,18.241325792795017,8.59263748597082e-06,1.0955612794612794e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Ferrite (NiZn),NiZnFe2O4,Functional Ceramic,0.95,0.9326094276094276,2131.130284027777,9.842499999999987,228.72246212121212,13.919019962978641,18.37310635113181,8.539124579124578e-06,1.0887383838383837e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Garnet (YIG),Y3Fe5O12,Functional Ceramic,0.95,0.9021808361391693,1994.3326222523622,5.323854166666642,221.25985006313127,13.464878969352293,17.773640239545028,8.782553310886644e-06,1.1197755471380472e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
SiC-Fiber/SiC-Matrix (CVI),SiC,Ceramic Composite,0.95,0.9474663299663298,2199.5709168402773,12.048749999999979,232.3661174242424,14.140756430970205,18.66579848888067,8.420269360269362e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
SiC-Fiber/SiC-Matrix (PIP),SiC,Ceramic Composite,0.95,0.9374270482603815,2153.2048958526225,10.557916666666646,229.90398358585855,13.99092204334531,18.46801709721581,8.500583613916947e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
C-Fiber/SiC-Matrix,SiC,Ceramic Composite,0.95,0.9474663299663298,2199.5709168402773,12.048749999999979,232.3661174242424,14.140756430970205,18.66579848888067,8.420269360269362e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
C-Fiber/C-Matrix (C/C),Carbon,Ceramic Composite,0.95,0.8446583894500561,1748.1254593762053,-3.2182291666666707,207.15247001262625,12.606367292242748,16.640404825760427,9.242732884399551e-06,15200937568520.045,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Al2O3-Fiber/Al2O3-Matrix,Al2O3,Ceramic Composite,0.95,0.908263187429854,2021.3141787229936,6.227083333333318,222.7515467171717,13.5556569161868,17.893467129366577,8.733894500561167e-06,1.1135715488215488e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Alumina-Zirconia (ZTA 10%),Al2O3,Ceramic Composite,0.95,0.8841308922558923,1915.3296367296007,2.6434374999999966,216.83310132575758,13.19548695828719,17.418042784939093,8.926952861952863e-06,1.13818648989899e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Alumina-Zirconia (ZTA 20%),Al2O3,Ceramic Composite,0.95,0.8841308922558923,1915.3296367296007,2.6434374999999966,216.83310132575758,13.19548695828719,17.418042784939093,8.926952861952863e-06,1.13818648989899e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Alumina-SiC Whisker (15%),Al2O3,Ceramic Composite,0.95,0.8616154601571269,1819.0195381956503,-0.7001041666666632,211.31119160353538,12.85944837709771,16.97447185776898,9.107076318742985e-06,1.1611522306397306e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Alumina-SiC Whisker (30%),Al2O3,Ceramic Composite,0.95,0.8595812289562288,1810.4404484483498,-1.0021875000000273,210.8122964015151,12.829087859761753,16.93439597488551,9.12335016835017e-06,1.1632271464646466e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Alumina-Graphene (0.5wt%),Al2O3,Ceramic Composite,0.95,0.8841308922558923,1915.3296367296007,2.6434374999999966,216.83310132575758,13.19548695828719,17.418042784939093,8.926952861952863e-06,1.13818648989899e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Alumina-Graphene (1.0wt%),Al2O3,Ceramic Composite,0.95,0.8841308922558923,1915.3296367296007,2.6434374999999966,216.83310132575758,13.19548695828719,17.418042784939093,8.926952861952863e-06,1.13818648989899e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Zirconia-Toughened Alumina (ZTA),Al2O3,Ceramic Composite,0.95,0.8784708193041526,1890.8848296489195,1.8029166666666585,215.44496843434342,13.111011436085873,17.30653509563335,8.972233445566778e-06,1.1439597643097643e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Alumina-Toughened Zirconia (ATZ),ZrO2,Ceramic Composite,0.95,0.894648569023569,1961.1704510525171,4.205312499999999,219.41256155303032,13.35246130205799,17.625248918716544,8.842811447811447e-06,14543212102911.338,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Si3N4-SiC Nanocomposite,Si3N4,Ceramic Composite,0.95,0.860040684624018,1812.3763665557483,-0.9339583333333383,210.9249779040404,12.835945149022116,16.943447596709195,9.119674523007855e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Si3N4-TiN Composite,Si3N4,Ceramic Composite,0.95,0.8616154601571269,1819.0195381956503,-0.7001041666666632,211.31119160353538,12.85944837709771,16.97447185776898,9.107076318742985e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
WC-Co (6%),WC,Cermet,0.95,0.908263187429854,2021.3141787229936,6.227083333333318,222.7515467171717,13.5556569161868,17.893467129366577,8.733894500561167e-06,1.1135715488215488e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
WC-Co (12%),WC,Cermet,0.95,0.908263187429854,2021.3141787229936,6.227083333333318,222.7515467171717,13.5556569161868,17.893467129366577,8.733894500561167e-06,1.1135715488215488e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
TiC-NiMo,TiC,Cermet,0.95,0.9021808361391693,1994.3326222523622,5.323854166666642,221.25985006313127,13.464878969352293,17.773640239545028,8.782553310886644e-06,14444109360373.434,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
MAX Phase (Ti3SiC2),Ti3SiC2,Novel Composite,0.95,0.8841308922558923,1915.3296367296007,2.6434374999999966,216.83310132575758,13.19548695828719,17.418042784939093,8.926952861952863e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
MAX Phase (Ti2AlC),Ti2AlC,Novel Composite,0.95,0.894648569023569,1961.1704510525171,4.205312499999999,219.41256155303032,13.35246130205799,17.625248918716544,8.842811447811447e-06,1.1274584595959595e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
MAX Phase (Cr2AlC),Cr2AlC,Novel Composite,0.95,0.8878317901234567,1931.3980158287513,3.1930208333333168,217.74074652777776,13.25072216155081,17.49095325324707,8.897345679012346e-06,1.1344115740740742e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
MXene (Ti3C2Tx),Ti3C2Tx,Novel Composite,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Diamond-SiC Composite,SiC,Ceramic Composite,0.95,0.894648569023569,1961.1704510525171,4.205312499999999,219.41256155303032,13.35246130205799,17.625248918716544,8.842811447811447e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
B4C-TiB2 Composite,B4C,Ceramic Composite,0.95,0.8400035072951739,1728.9108375301405,-3.909479166666676,206.0108601641414,12.536894053262955,16.548700150307102,9.279971941638608e-06,15262182288158.855,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Al2O3-Cu Interpenetrating,Al2O3,Ceramic Composite,0.95,0.9474663299663298,2199.5709168402773,12.048749999999979,232.3661174242424,14.140756430970205,18.66579848888067,8.420269360269362e-06,1.0735843434343437e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
SiC-Al Interpenetrating,SiC,Ceramic Composite,0.95,0.9688510101010099,2299.981753515624,15.224374999999972,237.61071022727268,14.459918752178456,19.087092752875563,8.24919191919192e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Glass-Ceramic (LAS),Li2O-Al2O3-SiO2,Ceramic Composite,0.95,0.9374270482603815,2153.2048958526225,10.557916666666646,229.90398358585855,13.99092204334531,18.46801709721581,8.500583613916947e-06,1.083824410774411e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Glass-Ceramic (MAS),MgO-Al2O3-SiO2,Ceramic Composite,0.95,0.9259203142536475,2100.6689815586415,8.849166666666653,227.08195707070703,13.819186206662895,18.241325792795017,8.59263748597082e-06,1.0955612794612794e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Zirconia-CNT (1wt%),ZrO2,Ceramic Composite,0.95,0.908263187429854,2021.3141787229936,6.227083333333318,222.7515467171717,13.5556569161868,17.893467129366577,8.733894500561167e-06,14364083295878.54,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Mullite-Cordierite Composite,3Al2O3-2SiO2,Ceramic Composite,0.95,0.894648569023569,1961.1704510525171,4.205312499999999,219.41256155303032,13.35246130205799,17.625248918716544,8.842811447811447e-06,1.1274584595959595e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
SiAlON (alpha),Si-Al-O-N,Ceramic Composite,0.95,0.860040684624018,1812.3763665557483,-0.9339583333333383,210.9249779040404,12.835945149022116,16.943447596709195,9.119674523007855e-06,1.1627585016835015e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
SiAlON (beta),Si-Al-O-N,Ceramic Composite,0.95,0.860040684624018,1812.3763665557483,-0.9339583333333383,210.9249779040404,12.835945149022116,16.943447596709195,9.119674523007855e-06,1.1627585016835015e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Alumina-Carbon Nanotube (CNT),Al2O3,Ceramic Composite,0.95,0.8878317901234567,1931.3980158287513,3.1930208333333168,217.74074652777776,13.25072216155081,17.49095325324707,8.897345679012346e-06,1.1344115740740742e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Diamond-like Carbon (DLC) on Si,Si,Coating,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
TiN on Steel,Steel,Coating,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Fly Ash Geopolymer (NaOH activator),Fly Ash Class F,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Fly Ash Geopolymer (Na2SiO3 activator),Fly Ash Class F,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Fly Ash Geopolymer (KOH activator),Fly Ash Class F,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Metakaolin Geopolymer (Na2SiO3),Metakaolin,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Metakaolin Geopolymer (K2SiO3),Metakaolin,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Slag Geopolymer (NaOH),GGBS,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Slag Geopolymer (Na2CO3),GGBS,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Fly Ash/Slag (70/30) Blend,Fly Ash/GGBS,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Fly Ash/Slag (50/50) Blend,Fly Ash/GGBS,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Geopolymer Concrete (Basalt aggregate),Fly Ash,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Geopolymer Foam (H2O2),Metakaolin,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
