material_name,category,base_nrci,final_nrci,structural_optimization,resonance_strength,ubp_energy_cu,compressive_strength_mpa,tensile_strength_mpa,fracture_toughness_mpa_m_half,simulated_piezo_response_pc_n,dosage_percent,additive
OPC + 0.0526% CNTs,Concrete,0.946375,0.964657,0.700734,1306695426.059164,0.178912,3141.541436,314.384637,13.519346,0,0.052632,CNTs
OPC + 0.0789% CNTs,Concrete,0.951604,0.967038,0.618697,1313155880.316781,0.158356,3170.208446,291.246248,11.966082,0,0.078947,CNTs
OPC + 0.1053% CNTs,Concrete,0.957576,0.969954,0.641329,1321085274.461973,0.164644,3268.948967,307.715549,12.441181,0,0.105263,CNTs
OPC + 0.1316% CNTs,Concrete,0.963921,0.973309,0.633085,1330240762.448987,0.163090,3368.414949,314.301614,12.323736,0,0.131579,CNTs
OPC + 0.1579% CNTs,Concrete,0.970113,0.976877,0.689142,1340011526.219500,0.178181,3510.183819,347.206912,13.464130,0,0.157895,CNTs
OPC + 0.1842% CNTs,Concrete,0.975533,0.980274,0.676575,1349347136.972916,0.175540,3615.718954,353.102128,13.264577,0,0.184211,CNTs
OPC + 0.2105% CNTs,Concrete,0.979568,0.982991,0.732561,1356838259.141526,0.190593,3735.703691,385.734239,14.402020,0,0.210526,CNTs
OPC + 0.2368% CNTs,Concrete,0.981724,0.984515,0.680217,1361049656.774499,0.177249,3762.147657,368.771961,13.393674,0,0.236842,CNTs
OPC + 0.2632% CNTs,Concrete,0.981724,0.984515,0.717853,1361049656.774499,0.187056,3780.965714,384.846623,14.134741,0,0.263158,CNTs
OPC + 0.2895% CNTs,Concrete,0.979568,0.982991,0.609192,1356838259.141526,0.158496,3674.019018,334.038788,11.976601,0,0.289474,CNTs
OPC + 0.3158% CNTs,Concrete,0.975533,0.980274,0.651496,1349347136.972916,0.169033,3603.179261,342.840981,12.772884,0,0.315789,CNTs
OPC + 0.3421% CNTs,Concrete,0.970113,0.976877,0.725957,1340011526.219500,0.187700,3528.591243,362.018122,14.183401,0,0.342105,CNTs
OPC + 0.3684% CNTs,Concrete,0.963921,0.973309,0.736222,1330240762.448987,0.189659,3419.983554,354.386158,14.331423,0,0.368421,CNTs
OPC + 0.3947% CNTs,Concrete,0.957576,0.969954,0.610775,1321085274.461973,0.156800,3253.671873,296.336142,11.848458,0,0.394737,CNTs
OPC + 0.4211% CNTs,Concrete,0.951604,0.967038,0.656108,1313155880.316781,0.167932,3188.913861,304.894701,12.689637,0,0.421053,CNTs
OPC + 0.4474% CNTs,Concrete,0.946375,0.964657,0.745793,1306695426.059164,0.190416,3164.071031,330.896298,14.388679,0,0.447368,CNTs
OPC + 0.4737% CNTs,Concrete,0.942084,0.962809,0.668693,1301695567.181858,0.170404,3072.528490,297.633809,12.876483,0,0.473684,CNTs
OPC + 0.5000% CNTs,Concrete,0.938767,0.961442,0.690537,1298002048.515028,0.175721,3044.822643,301.600968,13.278230,0,0.500000,CNTs
Alumina + 0.0000% SiC particles,Traditional Ceramic,0.976767,0.981087,0.784809,1351585795.710928,0.203791,3697.113430,401.066031,15.399303,0,0.000000,SiC particles
Alumina + 1.0526% SiC particles,Traditional Ceramic,0.980084,0.983351,0.714407,1357831706.625110,0.185938,3738.979589,379.284550,14.050246,0,1.052632,SiC particles
Alumina + 2.1053% SiC particles,Traditional Ceramic,0.984375,0.986465,0.719138,1366445554.812077,0.187762,3849.981798,392.366174,14.188084,0,2.105263,SiC particles
Alumina + 3.1579% SiC particles,Traditional Ceramic,0.989604,0.990576,0.704669,1377858209.155289,0.184751,3990.963552,400.959700,13.960561,0,3.157895,SiC particles
Alumina + 4.2105% SiC particles,Traditional Ceramic,0.995576,0.995763,0.841369,1392326022.903514,0.221746,4254.399793,485.584064,16.756085,0,4.210526,SiC particles
Alumina + 5.2632% SiC particles,Traditional Ceramic,1.001921,0.999990,0.759802,1404171916.140420,0.201099,4379.500951,464.140328,15.195885,0,5.263158,SiC particles
Alumina + 6.3158% SiC particles,Traditional Ceramic,1.008113,0.999990,0.811297,1404171916.140420,0.214728,4405.248606,489.554034,16.225781,0,6.315789,SiC particles
Alumina + 7.3684% SiC particles,Traditional Ceramic,1.013533,0.999990,0.736835,1404171916.140420,0.195020,4368.017519,452.891345,14.736553,0,7.368421,SiC particles
Alumina + 8.4211% SiC particles,Traditional Ceramic,1.017568,0.999990,0.798508,1404171916.140420,0.211343,4398.854176,483.217790,15.970007,0,8.421053,SiC particles
Alumina + 9.4737% SiC particles,Traditional Ceramic,1.019724,0.999990,0.709843,1404171916.140420,0.187876,4354.521473,439.738264,14.196716,0,9.473684,SiC particles
Alumina + 10.5263% SiC particles,Traditional Ceramic,1.019724,0.999990,0.779264,1404171916.140420,0.206250,4389.232116,473.714107,15.585128,0,10.526316,SiC particles
Alumina + 11.5789% SiC particles,Traditional Ceramic,1.017568,0.999990,0.759574,1404171916.140420,0.201039,4379.387082,464.028525,15.191331,0,11.578947,SiC particles
Alumina + 12.6316% SiC particles,Traditional Ceramic,1.013533,0.999990,0.707659,1404171916.140420,0.187298,4353.429593,438.677316,14.153041,0,12.631579,SiC particles
Alumina + 13.6842% SiC particles,Traditional Ceramic,1.008113,0.999990,0.763392,1404171916.140420,0.202049,4381.296001,465.903497,15.267687,0,13.684211,SiC particles
Alumina + 14.7368% SiC particles,Traditional Ceramic,1.001921,0.999990,0.722876,1404171916.140420,0.191326,4361.037924,446.080021,14.457372,0,14.736842,SiC particles
Alumina + 15.7895% SiC particles,Traditional Ceramic,0.995576,0.995763,0.770804,1392326022.903514,0.203148,4219.117092,451.784637,15.350757,0,15.789474,SiC particles
Alumina + 16.8421% SiC particles,Traditional Ceramic,0.989604,0.990576,0.756816,1377858209.155289,0.198423,4017.037290,424.527083,14.993682,0,16.842105,SiC particles
Alumina + 17.8947% SiC particles,Traditional Ceramic,0.984375,0.986465,0.813403,1366445554.812077,0.212374,3897.114446,433.905904,16.047872,0,17.894737,SiC particles
Alumina + 18.9474% SiC particles,Traditional Ceramic,0.980084,0.983351,0.713180,1357831706.625110,0.185619,3738.366298,378.763796,14.026123,0,18.947368,SiC particles
Alumina + 20.0000% SiC particles,Traditional Ceramic,0.976767,0.981087,0.800497,1351585795.710928,0.207865,3704.957495,407.729347,15.707131,0,20.000000,SiC particles
Zirconia + 1.0000% Y2O3,Traditional Ceramic,0.978022,0.981930,0.692177,1353910345.958354,0.179892,3679.313953,365.053107,13.593387,0,1.000000,Y2O3
Zirconia + 1.3684% Y2O3,Traditional Ceramic,0.983812,0.986044,0.678555,1365279869.123390,0.177090,3814.827881,373.301933,13.381706,0,1.368421,Y2O3
Zirconia + 1.7368% Y2O3,Traditional Ceramic,0.990099,0.990984,0.737340,1378994765.150500,0.193396,4022.330744,417.252345,14.613843,0,1.736842,Y2O3
Zirconia + 2.1053% Y2O3,Traditional Ceramic,0.996395,0.996520,0.629837,1394443382.381474,0.166122,4177.872973,388.474191,12.552907,0,2.105263,Y2O3
Zirconia + 2.4737% Y2O3,Traditional Ceramic,1.002100,0.999990,0.618263,1404171916.140420,0.163637,4308.731652,395.655001,12.365142,0,2.473684,Y2O3
Zirconia + 2.8421% Y2O3,Traditional Ceramic,1.006589,0.999990,0.688911,1404171916.140420,0.182336,4344.055436,429.588349,13.778079,0,2.842105,Y2O3
Zirconia + 3.2105% Y2O3,Traditional Ceramic,1.009321,0.999990,0.726243,1404171916.140420,0.192217,4362.721295,447.721024,14.524706,0,3.210526,Y2O3
Zirconia + 3.5789% Y2O3,Traditional Ceramic,1.009949,0.999990,0.627598,1404171916.140420,0.166108,4313.398876,400.109895,12.551829,0,3.578947,Y2O3
Zirconia + 3.9474% Y2O3,Traditional Ceramic,1.008393,0.999990,0.742696,1404171916.140420,0.196571,4370.948139,455.757120,14.853776,0,3.947368,Y2O3
Zirconia + 4.3158% Y2O3,Traditional Ceramic,1.004852,0.999990,0.702222,1404171916.140420,0.185859,4350.710923,436.037738,14.044296,0,4.315789,Y2O3
Zirconia + 4.6842% Y2O3,Traditional Ceramic,0.999768,0.999769,0.717049,1403550544.210359,0.189741,4349.283109,442.343618,14.337673,0,4.684211,Y2O3
Zirconia + 5.0526% Y2O3,Traditional Ceramic,0.993732,0.994100,0.670887,1387679183.202891,0.176520,4105.609975,398.608423,13.338579,0,5.052632,Y2O3
Zirconia + 5.4211% Y2O3,Traditional Ceramic,0.987371,0.988775,0.607964,1372853752.526683,0.159107,3877.010641,352.018443,12.022788,0,5.421053,Y2O3
Zirconia + 5.7895% Y2O3,Traditional Ceramic,0.981247,0.984174,0.635611,1360105935.378647,0.165568,3727.997582,348.795640,12.511041,0,5.789474,Y2O3
Zirconia + 6.1579% Y2O3,Traditional Ceramic,0.975779,0.980434,0.659025,1349789175.210974,0.171015,3612.315787,346.430153,12.922616,0,6.157895,Y2O3
Zirconia + 6.5263% Y2O3,Traditional Ceramic,0.971209,0.977542,0.706365,1341837337.008120,0.182759,3540.420814,356.295711,13.810038,0,6.526316,Y2O3
Zirconia + 6.8947% Y2O3,Traditional Ceramic,0.967618,0.975401,0.700776,1335967030.788002,0.180916,3468.515300,347.120639,13.670755,0,6.894737,Y2O3
Zirconia + 7.2632% Y2O3,Traditional Ceramic,0.964953,0.973882,0.618920,1331808093.570803,0.159534,3379.354180,310.535655,12.055103,0,7.263158,Y2O3
Zirconia + 7.6316% Y2O3,Traditional Ceramic,0.963081,0.972848,0.695822,1328980581.761817,0.179166,3385.355235,337.121069,13.538573,0,7.631579,Y2O3
Zirconia + 8.0000% Y2O3,Traditional Ceramic,0.961833,0.972173,0.725407,1327137804.409351,0.186655,3379.147440,346.500181,14.104423,0,8.000000,Y2O3
Geopolymer + 0.0000% Basalt Fibers,Geopolymer,0.916767,0.953501,0.878658,1276649631.687028,0.221745,2924.027837,344.642839,20.107238,0,0.000000,Basalt Fibers
Geopolymer + 0.1579% Basalt Fibers,Geopolymer,0.920084,0.954589,0.924899,1279562936.434079,0.233681,2975.628321,364.484360,21.189554,0,0.157895,Basalt Fibers
Geopolymer + 0.3158% Basalt Fibers,Geopolymer,0.924375,0.956049,0.864260,1283479691.394195,0.218695,2984.009623,347.416411,19.830600,0,0.315789,Basalt Fibers
Geopolymer + 0.4737% Basalt Fibers,Geopolymer,0.929604,0.957915,0.915608,1288494911.535317,0.232140,3059.932007,371.967674,21.049778,0,0.473684,Basalt Fibers
Geopolymer + 0.6316% Basalt Fibers,Geopolymer,0.935576,0.960174,0.821642,1294580346.428621,0.208808,3074.980183,344.902597,18.934059,0,0.631579,Basalt Fibers
Geopolymer + 0.7895% Basalt Fibers,Geopolymer,0.941921,0.962741,0.858944,1301511273.215045,0.218871,3165.716001,366.888772,19.846576,0,0.789474,Basalt Fibers
Geopolymer + 0.9474% Basalt Fibers,Geopolymer,0.948113,0.965432,0.881676,1308796051.393633,0.225291,3254.520082,384.578814,20.428748,0,0.947368,Basalt Fibers
Geopolymer + 1.1053% Basalt Fibers,Geopolymer,0.953533,0.967956,0.915608,1315649474.277868,0.234574,3345.930118,406.734046,21.270445,0,1.105263,Basalt Fibers
Geopolymer + 1.2632% Basalt Fibers,Geopolymer,0.957568,0.969949,0.861365,1321074009.405320,0.221131,3378.841289,392.406715,20.051526,0,1.263158,Basalt Fibers
Geopolymer + 1.4211% Basalt Fibers,Geopolymer,0.959724,0.971058,0.925550,1324094589.050628,0.237880,3444.792683,422.176627,21.570302,0,1.421053,Basalt Fibers
Geopolymer + 1.5789% Basalt Fibers,Geopolymer,0.959724,0.971058,0.944375,1324094589.050628,0.242719,3454.204867,429.832459,22.009011,0,1.578947,Basalt Fibers
Geopolymer + 1.7368% Basalt Fibers,Geopolymer,0.957568,0.969949,0.898979,1321074009.405320,0.230788,3397.648542,407.371010,20.927146,0,1.736842,Basalt Fibers
Geopolymer + 1.8947% Basalt Fibers,Geopolymer,0.953533,0.967956,0.820435,1315649474.277868,0.210191,3298.343323,369.557839,19.059473,0,1.894737,Basalt Fibers
Geopolymer + 2.0526% Basalt Fibers,Geopolymer,0.948113,0.965432,0.923204,1308796051.393633,0.235903,3275.283912,400.633913,21.390958,0,2.052632,Basalt Fibers
Geopolymer + 2.2105% Basalt Fibers,Geopolymer,0.941921,0.962741,0.897747,1301511273.215045,0.228758,3185.117484,381.496495,20.743149,0,2.210526,Basalt Fibers
Geopolymer + 2.3684% Basalt Fibers,Geopolymer,0.935576,0.960174,0.855683,1294580346.428621,0.217458,3092.000602,357.337107,19.718502,0,2.368421,Basalt Fibers
Geopolymer + 2.5263% Basalt Fibers,Geopolymer,0.929604,0.957915,0.857060,1288494911.535317,0.217296,3030.658076,350.665257,19.703765,0,2.526316,Basalt Fibers
Geopolymer + 2.6842% Basalt Fibers,Geopolymer,0.924375,0.956049,0.806564,1283479691.394195,0.204095,2955.161585,327.007625,18.506754,0,2.684211,Basalt Fibers
Geopolymer + 2.8421% Basalt Fibers,Geopolymer,0.920084,0.954589,0.829047,1279562936.434079,0.209464,2927.702632,330.551514,18.993586,0,2.842105,Basalt Fibers
Geopolymer + 3.0000% Basalt Fibers,Geopolymer,0.916767,0.953501,0.908991,1276649631.687028,0.229401,2939.194557,355.346064,20.801389,0,3.000000,Basalt Fibers
OPC + 0.0000% TiO2,Concrete,0.938767,0.961442,0.657874,1298002048.515028,0.167409,3028.490950,290.091176,12.650151,0,0.000000,TiO2
OPC + 0.2632% TiO2,Concrete,0.942084,0.962809,0.628729,1301695567.181858,0.160220,3052.546049,283.498659,12.106912,0,0.263158,TiO2
OPC + 0.5263% TiO2,Concrete,0.946375,0.964657,0.648892,1306695426.059164,0.165676,3115.620808,295.638903,12.519166,0,0.526316,TiO2
OPC + 0.7895% TiO2,Concrete,0.951604,0.967038,0.694887,1313155880.316781,0.177857,3208.303191,319.189901,13.439646,0,0.789474,TiO2
OPC + 1.0526% TiO2,Concrete,0.957576,0.969954,0.743593,1321085274.461973,0.190897,3320.081336,346.481510,14.425022,0,1.052632,TiO2
OPC + 1.3158% TiO2,Concrete,0.963921,0.973309,0.666331,1330240762.448987,0.171654,3385.038030,327.106640,12.970912,0,1.315789,TiO2
OPC + 1.5789% TiO2,Concrete,0.970113,0.976877,0.742945,1340011526.219500,0.192092,3537.085477,368.898560,14.515314,0,1.578947,TiO2
OPC + 1.8421% TiO2,Concrete,0.975533,0.980274,0.715971,1349347136.972916,0.185762,3635.416786,369.347736,14.036948,0,1.842105,TiO2
OPC + 2.1053% TiO2,Concrete,0.979568,0.982991,0.630027,1356838259.141526,0.163916,3684.436614,342.662541,12.386217,0,2.105263,TiO2
OPC + 2.3684% TiO2,Concrete,0.981724,0.984515,0.730238,1361049656.774499,0.190283,3787.158200,390.167312,14.378605,0,2.368421,TiO2
OPC + 2.6316% TiO2,Concrete,0.981724,0.984515,0.604419,1361049656.774499,0.157498,3724.248867,336.828153,11.901196,0,2.631579,TiO2
OPC + 2.8947% TiO2,Concrete,0.979568,0.982991,0.658513,1356838259.141526,0.171328,3698.679815,354.523405,12.946255,0,2.894737,TiO2
OPC + 3.1579% TiO2,Concrete,0.975533,0.980274,0.643020,1349347136.972916,0.166834,3598.941268,339.387280,12.606708,0,3.157895,TiO2
OPC + 3.4211% TiO2,Concrete,0.970113,0.976877,0.730523,1340011526.219500,0.188881,3530.874634,363.864862,14.272625,0,3.421053,TiO2
OPC + 3.6842% TiO2,Concrete,0.963921,0.973309,0.673820,1330240762.448987,0.173583,3388.782654,330.006438,13.116699,0,3.684211,TiO2
OPC + 3.9474% TiO2,Concrete,0.957576,0.969954,0.629473,1321085274.461973,0.161600,3263.021207,303.289071,12.211195,0,3.947368,TiO2
OPC + 4.2105% TiO2,Concrete,0.951604,0.967038,0.745121,1313155880.316781,0.190715,3233.419980,337.931363,14.411201,0,4.210526,TiO2
OPC + 4.4737% TiO2,Concrete,0.946375,0.964657,0.721401,1306695426.059164,0.184189,3151.874861,321.932671,13.918075,0,4.473684,TiO2
OPC + 4.7368% TiO2,Concrete,0.942084,0.962809,0.639569,1301695567.181858,0.162983,3057.966430,287.317134,12.315664,0,4.736842,TiO2
OPC + 5.0000% TiO2,Concrete,0.938767,0.961442,0.694742,1298002048.515028,0.176791,3046.924873,303.090269,13.359077,0,5.000000,TiO2
OPC + 0.0000% Bacterial Spores,Concrete,0.938767,0.961442,0.731461,1298002048.515028,0.186135,3065.284729,316.172237,14.065155,0,0.000000,Bacterial Spores
OPC + 0.2632% Bacterial Spores,Concrete,0.942084,0.962809,0.673525,1301695567.181858,0.171636,3074.944476,299.353649,12.969529,0,0.263158,Bacterial Spores
OPC + 0.5263% Bacterial Spores,Concrete,0.946375,0.964657,0.632707,1306695426.059164,0.161543,3107.527875,289.841168,12.206890,0,0.526316,Bacterial Spores
OPC + 0.7895% Bacterial Spores,Concrete,0.951604,0.967038,0.639733,1313155880.316781,0.163740,3180.726188,298.903321,12.372925,0,0.789474,Bacterial Spores
OPC + 1.0526% Bacterial Spores,Concrete,0.957576,0.969954,0.618333,1321085274.461973,0.158740,3257.451335,299.142648,11.995094,0,1.052632,Bacterial Spores
OPC + 1.3158% Bacterial Spores,Concrete,0.963921,0.973309,0.714998,1330240762.448987,0.184191,3409.371624,346.050524,13.918276,0,1.315789,Bacterial Spores
OPC + 1.5789% Bacterial Spores,Concrete,0.970113,0.976877,0.725217,1340011526.219500,0.187509,3528.221526,361.719302,14.168955,0,1.578947,Bacterial Spores
OPC + 1.8421% Bacterial Spores,Concrete,0.975533,0.980274,0.653986,1349347136.972916,0.169679,3604.424225,343.856914,12.821700,0,1.842105,Bacterial Spores
OPC + 2.1053% Bacterial Spores,Concrete,0.979568,0.982991,0.720793,1356838259.141526,0.187531,3729.819831,380.737547,14.170669,0,2.105263,Bacterial Spores
OPC + 2.3684% Bacterial Spores,Concrete,0.981724,0.984515,0.653746,1361049656.774499,0.170351,3748.912577,357.551205,12.872469,0,2.368421,Bacterial Spores
OPC + 2.6316% Bacterial Spores,Concrete,0.981724,0.984515,0.694248,1361049656.774499,0.180905,3769.163165,374.748151,13.669949,0,2.631579,Bacterial Spores
OPC + 2.8947% Bacterial Spores,Concrete,0.979568,0.982991,0.613696,1356838259.141526,0.159667,3676.271160,335.899448,12.065154,0,2.894737,Bacterial Spores
OPC + 3.1579% Bacterial Spores,Concrete,0.975533,0.980274,0.732252,1349347136.972916,0.189986,3643.557336,376.106904,14.356146,0,3.157895,Bacterial Spores
OPC + 3.4211% Bacterial Spores,Concrete,0.970113,0.976877,0.649117,1340011526.219500,0.167833,3490.171582,331.258190,12.682150,0,3.421053,Bacterial Spores
OPC + 3.6842% Bacterial Spores,Concrete,0.963921,0.973309,0.638799,1330240762.448987,0.164562,3371.272062,316.494628,12.434970,0,3.684211,Bacterial Spores
OPC + 3.9474% Bacterial Spores,Concrete,0.957576,0.969954,0.737178,1321085274.461973,0.189251,3316.873763,344.018947,14.300574,0,3.947368,Bacterial Spores
OPC + 4.2105% Bacterial Spores,Concrete,0.951604,0.967038,0.724144,1313155880.316781,0.185346,3222.931723,330.074626,14.005500,0,4.210526,Bacterial Spores
OPC + 4.4737% Bacterial Spores,Concrete,0.946375,0.964657,0.725207,1306695426.059164,0.185161,3153.778133,323.327571,13.991515,0,4.473684,Bacterial Spores
OPC + 4.7368% Bacterial Spores,Concrete,0.942084,0.962809,0.699432,1301695567.181858,0.178238,3087.897970,308.614518,13.468398,0,4.736842,Bacterial Spores
OPC + 5.0000% Bacterial Spores,Concrete,0.938767,0.961442,0.630964,1298002048.515028,0.160562,3015.036229,280.689090,12.132714,0,5.000000,Bacterial Spores
Geopolymer + 0.0000% Slag,Geopolymer,0.916767,0.953501,0.606345,1276649631.687028,0.153022,2787.871321,252.677275,11.563014,0,0.000000,Slag
Geopolymer + 5.2632% Slag,Geopolymer,0.920084,0.954589,0.609871,1279562936.434079,0.154088,2818.114475,256.412097,11.643523,0,5.263158,Slag
Geopolymer + 10.5263% Slag,Geopolymer,0.924375,0.956049,0.657208,1283479691.394195,0.166302,2880.483612,275.722292,12.566464,0,10.526316,Slag
Geopolymer + 15.7895% Slag,Geopolymer,0.929604,0.957915,0.722327,1288494911.535317,0.183136,2963.291772,302.945370,13.838557,0,15.789474,Slag
Geopolymer + 21.0526% Slag,Geopolymer,0.935576,0.960174,0.737038,1294580346.428621,0.187307,3032.678556,314.500423,14.153705,0,21.052632,Slag
Geopolymer + 26.3158% Slag,Geopolymer,0.941921,0.962741,0.632523,1301511273.215045,0.161176,3052.505499,284.653172,12.179118,0,26.315789,Slag
Geopolymer + 31.5789% Slag,Geopolymer,0.948113,0.965432,0.680575,1308796051.393633,0.173905,3153.969366,309.270201,13.140963,0,31.578947,Slag
