Z,A,N,be_MeV_total,be_per_A_semi,be_per_A_exp,half_life_s,decay_mode,is_stable,log10_half_life,asymmetry,coulomb_energy,is_magic_Z,is_magic_N,magic_factor
87,200,113,1550.6957712529374,7.753478856264687,7.753478856264687,1320.0,alpha/beta,False,3.12057393120585,0.13,909.656246348792,False,False,0
88,202,114,1562.4418404171197,7.734860596124355,7.734860596124355,50500000000.0,alpha,False,10.703291378118662,0.12871287128712872,927.7288644376657,False,False,0
89,205,116,1581.211349995571,7.713226097539371,7.713226097539371,687000000.0,alpha/beta,False,8.83695673705955,0.13170731707317074,944.4036549363968,False,False,0
90,207,117,1591.164122084203,7.68678319847441,7.68678319847441,4.41e+17,alpha,False,17.64443858946784,0.13043478260869565,962.7466179614983,False,False,0
91,210,119,1609.6994584528745,7.66523551644226,7.66523551644226,1030000000000.0,alpha,False,12.012837224705173,0.13333333333333333,979.6713426381785,False,False,0
92,212,120,1620.9756203389452,7.646111416693138,7.591,1.41e+17,alpha,False,17.14921911265538,0.1320754716981132,998.282673476477,False,False,0
93,215,122,1639.268240116613,7.624503442402851,7.624503442402851,67700000000000.0,alpha,False,13.830588668685145,0.13488372093023257,1015.45548547747,False,False,0
94,217,123,1648.789329442861,7.598107508953276,7.598107508953276,2520000000000000.0,alpha,False,15.401400540781545,0.1336405529953917,1034.3332636371354,False,False,0
95,220,125,1666.8524361241912,7.576601982382687,7.576601982382687,232000000000.0,alpha,False,11.3654879848909,0.13636363636363635,1051.752370054928,False,False,0
96,222,126,1677.6621466422605,7.557036696586759,7.557036696586759,494000000000000.0,alpha,False,14.693726948923647,0.13513513513513514,1070.8947288917027,False,True,1
97,225,128,1695.4876547861938,7.535500687938639,7.535500687938639,43000000000.0,alpha,False,10.633468455579587,0.13777777777777778,1088.5583880342372,False,False,0
98,227,129,1704.5780464310058,7.509154389563902,7.509154389563902,28400000000.0,alpha,False,10.453318340047037,0.13656387665198239,1107.9635121597921,False,False,0
99,230,131,1722.1781753860005,7.487731197330437,7.487731197330437,,unknown,False,,0.1391304347826087,1125.87003101565,False,False,0
100,232,132,1732.5248482966415,7.467779518520007,7.467779518520007,,unknown,False,,0.13793103448275862,1145.5361538809843,False,False,0
101,235,134,1749.891943325262,7.446348695001115,7.446348695001115,,unknown,False,,0.14042553191489363,1163.6838857622881,False,False,0
102,237,135,1758.5528424203778,7.420054187427755,7.420054187427755,,unknown,False,,0.13924050632911392,1183.6092874010553,False,False,0
103,240,137,1775.6982625159394,7.39874276048308,7.39874276048308,,unknown,False,,0.14166666666666666,1201.9966297480094,False,False,0
104,242,138,1785.5852686484156,7.37845152334056,7.37845152334056,,unknown,False,,0.14049586776859505,1222.1796346662315,False,False,0
105,245,140,1802.5017620842877,7.357150049323623,7.357150049323623,,unknown,False,,0.14285714285714285,1240.8050269990022,False,False,0
106,248,142,1820.6908245716252,7.341495260369457,7.341495260369457,,unknown,False,,0.14516129032258066,1259.5464981258892,False,False,0
107,250,143,1827.4327223851394,7.309730889540558,7.309730889540558,,unknown,False,,0.144,1280.1059242041981,False,False,0
108,253,145,1845.3911527682073,7.294036176949436,7.294036176949436,,unknown,False,,0.14624505928853754,1299.083181306005,False,False,0
109,255,146,1853.3363540479627,7.267985702148874,7.267985702148874,,unknown,False,,0.1450980392156863,1319.8962470721797,False,False,0
110,258,148,1871.0577519205583,7.2521618291494505,7.2521618291494505,,unknown,False,,0.14728682170542637,1339.1078271078204,False,False,0
111,260,149,1877.4002670486054,7.220770257879252,7.220770257879252,,unknown,False,,0.14615384615384616,1360.1729969145065,False,False,0
112,263,151,1894.8947250594538,7.204922908971307,7.204922908971307,,unknown,False,,0.1482889733840304,1379.6174727077528,False,False,0
113,266,153,1910.8623794901887,7.183693155978153,7.183693155978153,,unknown,False,,0.15037593984962405,1399.1754874390417,False,False,0
114,268,154,1919.6751934179997,7.1629671396194015,7.1629671396194015,,unknown,False,,0.14925373134328357,1420.6092261554113,False,False,0
115,271,156,1935.4245675823022,7.141788072259418,7.141788072259418,,unknown,False,,0.15129151291512916,1440.3980633991962,False,False,0
116,273,157,1942.6563696127487,7.115957397848896,7.115957397848896,,unknown,False,,0.15018315018315018,1462.0802634485522,False,False,0
117,276,159,1958.1963842741877,7.094914435776042,7.094914435776042,,unknown,False,,0.15217391304347827,1482.0985794423714,False,False,0
118,279,161,1974.939539673785,7.078636342916792,7.078636342916792,,unknown,False,,0.15412186379928317,1502.22874771447,False,False,0
