name,mw,logp,tpsa,rings,heteroatoms,rotbonds,persistence,biodeg,toxicity,category,pmi1,pmi2,pmi3,radius_of_gyration,spherocity
Polypropylene (atactic) - Variant 6 - Variant 26,20484.84524077576,8.254754245624753,25.741647021951522,0,0,900,0.8881863988982338,0.11181360110176619,0.12498518810282443,Commodity Plastic,6757.689298054292,7222.3332925187615,4009.4777437813063,39.06177773660293,0.8579652961374025
Polypropylene (syndiotactic) - Variant 7 - Variant 27,26905.621570868025,8.247511082684206,13.689380413865223,0,0,950,0.8916420773809507,0.10835792261904931,0.1478822293317283,Commodity Plastic,13075.785507147946,9499.14013841974,2930.8897144438633,47.94754777137069,0.5061189668989765
Polystyrene (PS) - Variant 8 - Variant 28,30637.357866532522,9.438797676933126,18.096439616426746,1,0,700,0.8355817765999954,0.16441822340000456,0.2828109736102797,Commodity Plastic,12001.90991674287,8310.453473450352,4960.551606927226,58.0442537827796,0.8780905671937036
High Impact Polystyrene (HIPS) - Variant 9 - Variant 29,34229.127302121124,9.342025857586664,24.843180178495743,1,0,800,0.9150882193147544,0.08491178068524563,0.22239228064989966,Commodity Plastic,11512.155202947428,8722.151179417788,5423.968368476787,57.41104608612784,0.84616306275237
Expanded Polystyrene (EPS) - Variant 10 - Variant 30,31716.983246084063,8.924379076459417,7.3766601079274245,1,0,650,0.8141866930861946,0.18581330691380538,0.2486301585624745,Commodity Plastic,11433.311099606557,11425.498108408628,8316.746444377615,43.42334952235281,0.6783126853489041
Nylon 6 (PA6),22000.0,4.2,43.0,0,2,400,0.75,0.25,0.18,Engineering Plastic,6823.531394631345,6059.586683850673,2585.332523031169,36.78440140983838,0.6478930638600449
Nylon 66 (PA66),25000.0,4.5,43.0,0,2,450,0.77,0.23,0.17,Engineering Plastic,9841.502957281926,9516.680032613527,6528.37689521352,44.331264698651246,0.5220535680419826
Nylon 12 (PA12),28000.0,5.1,43.0,0,2,600,0.79,0.21,0.16,Engineering Plastic,13177.517762697324,5990.2679016886705,6547.4284523152,42.42510433803497,0.3110030334063899
Nylon 46 (PA46),24000.0,4.3,43.0,0,2,420,0.76,0.24,0.17,Engineering Plastic,11681.18618883211,5079.44405796163,5915.719003826156,36.27527960666297,0.376573911742652
Polycarbonate (PC),35000.0,6.8,40.0,2,3,500,0.83,0.17,0.28,Engineering Plastic,17028.215452525506,13489.02912070986,6525.492313095164,60.595246977402745,0.7525387940097292
PC-ABS Blend,38000.0,7.2,35.0,2,3,550,0.85,0.15,0.3,Engineering Plastic,12351.748194778474,12528.257347778905,8965.916049613363,45.45795327776033,0.5829240759528992
Polyamide-imide (PAI),45000.0,5.8,72.0,2,4,400,0.88,0.12,0.25,Engineering Plastic,16938.484942599513,12416.394208034992,9981.260502362242,69.337451529355,0.3899028805127809
Polyetherimide (PEI),40000.0,6.2,55.0,3,4,450,0.86,0.14,0.24,Engineering Plastic,12225.83007720565,14040.483318529465,10151.841561829036,49.51596000910506,0.4583765124791226
Polysulfone (PSU),42000.0,6.9,48.0,2,3,420,0.87,0.13,0.26,Engineering Plastic,19783.38889776037,14047.545203946585,7952.866609533317,70.3937392295955,0.8687021399082
Polyethersulfone (PES),44000.0,7.1,52.0,2,4,440,0.88,0.12,0.25,Engineering Plastic,16357.05070578721,13474.569212012448,8560.865499087462,63.06895816932627,0.5202797011861591
Polytetrafluoroethylene (PTFE),55000.0,11.2,0.0,0,0,1500,0.99,0.01,0.15,Engineering Plastic,23442.287306814582,12087.606769289165,12579.33845013802,74.06368899182218,0.8446091671314921
Fluorinated Ethylene Propylene (FEP),48000.0,10.8,0.0,0,0,1300,0.98,0.02,0.16,Engineering Plastic,21263.02500554197,17396.924038010413,5837.543939197328,53.3914818309962,0.482781499376146
Polyvinylidene Fluoride (PVDF),38000.0,9.5,0.0,0,0,1000,0.96,0.04,0.18,Engineering Plastic,14666.819490047981,14181.77624917275,7115.457807568811,64.42383716567102,0.6259320566202966
Poly(methyl methacrylate) (PMMA),32000.0,6.2,26.0,0,2,600,0.81,0.19,0.2,Engineering Plastic,11561.230953921555,7501.879606736955,9420.485409662757,58.646104856645785,0.31228625001731874
Poly(butyl methacrylate),35000.0,7.8,26.0,0,2,800,0.83,0.17,0.19,Engineering Plastic,17235.49037081161,12953.581563839467,3762.8662404203196,57.3111932262755,0.6131250662241462
Polyurethane (PU) - Rigid,30000.0,5.5,58.0,1,4,500,0.72,0.28,0.32,Engineering Plastic,14786.929350143126,11267.083866099387,4896.028337198363,50.04549729190775,0.6821652063663782
Polyurethane (PU) - Flexible,28000.0,5.8,58.0,1,4,650,0.68,0.32,0.3,Engineering Plastic,10020.843660968123,8676.800228815691,4559.014986900476,52.58416655803553,0.44058305960230676
Thermoplastic Polyurethane (TPU),32000.0,5.9,58.0,1,4,700,0.7,0.3,0.31,Engineering Plastic,12669.600619164532,10599.545831825197,7254.170363108945,41.4342750489989,0.6473623057232143
Polyoxymethylene (POM),26000.0,3.8,9.0,0,1,900,0.73,0.27,0.22,Engineering Plastic,12858.789625032117,7187.634064075356,3150.1618690055275,48.26862001017837,0.6883006632305914
POM Copolymer,28000.0,4.1,12.0,0,1,950,0.74,0.26,0.21,Engineering Plastic,8427.263082870819,7178.03322605189,6319.846572921622,55.01711340089425,0.712131647029054
Nylon 6 (PA6) - Modified 1,23171.924788159064,4.203657738296055,45.92431437466034,0,2,400,0.7212820563957836,0.2787179436042164,0.18783933068211028,Engineering Plastic,8864.087303077893,7980.332793528195,2757.645540461479,41.42777024415264,0.765841993213262
Nylon 66 (PA66) - Modified 2,22557.748217537435,4.132230306306479,55.39947524014032,0,2,450,0.81707949278582,0.18292050721417996,0.15151356815144565,Engineering Plastic,7220.543687712039,8399.94216479772,2684.1629159136505,36.56347437331544,0.48680354575764995
Nylon 12 (PA12) - Modified 3,26664.95734882217,4.957301989692722,47.44897438827172,0,2,600,0.8076942354913803,0.1923057645086197,0.17522666560965836,Engineering Plastic,10714.822291754625,8821.181480241832,6549.89136719282,45.64703614777675,0.6406661738591269
Nylon 46 (PA46) - Modified 4,24397.44584351613,3.6570067061755087,44.47707086825844,0,2,420,0.7167061344945478,0.2832938655054522,0.19025800365561965,Engineering Plastic,7439.610529027546,7375.790012163332,4021.35865426448,49.18620567902048,0.8889474178587566
Polycarbonate (PC) - Modified 5,39204.38960021497,6.223983420926481,49.52581804890912,2,3,500,0.8124781525699912,0.18752184743000877,0.2989802770251001,Engineering Plastic,14951.757806455395,9086.98761533944,11584.292969293561,48.17961587152933,0.8388865023990943
PC-ABS Blend - Modified 6,42527.05696345938,7.3001971401383505,37.77158567597581,2,3,550,0.8669017658923603,0.13309823410763966,0.26257259684955436,Engineering Plastic,14635.253514073558,8960.099735919537,4570.407787455402,52.53117327247664,0.8715992568590201
Polyamide-imide (PAI) - Modified 7,40431.987640277286,5.89051530779955,78.77921146061311,2,4,400,0.8195330767591689,0.18046692324083113,0.2201103657149524,Engineering Plastic,16442.139715960853,11690.438518981358,7642.5081892379285,49.862674789833825,0.5316818391171428
Polyetherimide (PEI) - Modified 8,41962.02122929667,6.946309804457902,58.7906633672943,3,4,450,0.8782961356441131,0.12170386435588687,0.2201473902811603,Engineering Plastic,20947.38769835064,8806.565733764879,5145.68464662442,66.15793211501749,0.7721568635379972
Polysulfone (PSU) - Modified 9,44673.45818897895,6.599528230134429,57.04342442496424,2,3,420,0.9000226531433754,0.09997734685662463,0.27167136612568277,Engineering Plastic,20554.58070092325,14021.521012604819,7606.8085348888935,50.34667305419255,0.6719387710562087
Polyethersulfone (PES) - Modified 10,48609.74901852315,7.428824063997796,67.17434386123158,2,4,440,0.829940731396421,0.170059268603579,0.24007868522945752,Engineering Plastic,22804.214672229362,13442.82379010847,14565.64345960453,68.39618622603805,0.3496410498373447
Polytetrafluoroethylene (PTFE) - Modified 11,51125.83906674847,11.551469419276359,1.9167560655504767,0,0,1500,1.0081758135632208,-0.008175813563220835,0.16326650865937417,Engineering Plastic,21833.442821716613,17967.553628540358,14201.14774884058,61.78573189279637,0.7943882334942394
Fluorinated Ethylene Propylene (FEP) - Modified 12,48037.97414071476,10.694137266704818,21.76135333271695,0,0,1300,0.9381873379258917,0.06181266207410829,0.17067770153255224,Engineering Plastic,14810.682425533383,12544.141745575938,5268.078754663653,69.7441885969278,0.7062607658144189
Polyvinylidene Fluoride (PVDF) - Modified 13,35500.804931825754,9.516792025788009,1.0981745367825286,0,0,1000,0.9166036753123074,0.08339632468769265,0.20378476355505734,Engineering Plastic,12118.538271067338,11310.433625363545,7549.287660855875,64.49452429423178,0.4193504157091601
Poly(methyl methacrylate) (PMMA) - Modified 14,36357.71433922484,6.110614885869659,31.712003952736737,0,2,600,0.7550527803143736,0.24494721968562638,0.22569911375526353,Engineering Plastic,17633.960879496204,11181.331645621034,8346.439094199499,46.556963595373,0.3478431344576768
Poly(butyl methacrylate) - Modified 15,34245.9335573318,7.619015107062133,32.21639835922886,0,2,800,0.8166483560635437,0.1833516439364563,0.21001479027646086,Engineering Plastic,12781.357169410661,6881.46299373207,4859.735117684482,49.454918076678524,0.8022132783889984
Polyurethane (PU) - Rigid - Modified 16,28352.298046406497,5.5856374976520815,67.96591022969591,1,4,500,0.7639644012354068,0.23603559876459324,0.33881886048079746,Engineering Plastic,9093.357285469434,6080.940768279249,3658.045097666824,54.63729699174802,0.34734109769472066
Polyurethane (PU) - Flexible - Modified 17,28588.513828750663,5.892381489178053,64.4714951311229,1,4,650,0.7266531265299261,0.2733468734700739,0.2676075613712871,Engineering Plastic,12592.699251716114,7377.941897367375,8029.833897844372,44.244105388974106,0.354812319219862
Thermoplastic Polyurethane (TPU) - Modified 18,32175.96466269187,6.0431149441393135,62.486276210945874,1,4,700,0.7193075426175363,0.28069245738246373,0.32883101981080115,Engineering Plastic,11579.857627463303,12112.545890760623,9452.11718342999,45.880963741787895,0.5564449727425892
Polyoxymethylene (POM) - Modified 19,24904.03097951409,4.162048783982623,13.831234979876228,0,1,900,0.7616935889362122,0.2383064110637878,0.24422677302628687,Engineering Plastic,8810.333471458629,5713.059194158009,7430.82918736083,51.485003670170556,0.38087869705168625
POM Copolymer - Modified 20,31471.220641474356,4.3060190745224185,42.821851925237766,0,1,950,0.770903380540958,0.22909661945904203,0.21944772763899917,Engineering Plastic,15722.879932260543,10768.78659363425,8118.0754712284015,61.18900060123615,0.8482017584656316
Nylon 6 (PA6) - Modified 1 - Modified 21,24575.913175013517,4.296576201566618,47.33376175107891,0,2,400,0.7049228902980755,0.29507710970192447,0.18082820621164306,Engineering Plastic,11590.683495214953,9699.457078446638,5718.825167330429,46.284400902126684,0.5821703617579421
Nylon 66 (PA66) - Modified 2 - Modified 22,19810.09226568464,3.9380848871748375,56.0544683552309,0,2,450,0.8131442112404982,0.18685578875950182,0.15345194038156362,Engineering Plastic,7559.2848438112,7094.261685350586,3350.798865564806,37.02334302392413,0.6414905883927429
Nylon 12 (PA12) - Modified 3 - Modified 23,24957.39682650248,4.7914892675367655,48.09056408859824,0,2,600,0.7553788673532136,0.24462113264678642,0.19218513178011784,Engineering Plastic,12380.172639371342,6204.136125056842,3351.27082186658,43.75429360885147,0.8568636536868526
Nylon 46 (PA46) - Modified 4 - Modified 24,23374.148467140494,3.682718713813694,53.099029091692884,0,2,420,0.7437969795037134,0.2562030204962866,0.1740378064588129,Engineering Plastic,10051.413141072544,8921.282585285722,2706.6356978360577,38.31096431737474,0.6181579353830091
Polycarbonate (PC) - Modified 5 - Modified 25,40649.74342786414,7.179597803883466,64.27312811547338,2,3,500,0.8281103835167907,0.17188961648320933,0.3192593319019128,Engineering Plastic,18227.527485684623,8886.905090245637,9701.447185947585,64.29900055066265,0.5121546875743912
PC-ABS Blend - Modified 6 - Modified 26,48598.03351030452,6.490140105475308,39.26322019413123,2,3,550,0.9027274065840454,0.09727259341595462,0.24452064557946934,Engineering Plastic,14885.704437835555,14269.762257783515,12487.006316471865,70.5996939038361,0.7782930634894991
Polyamide-imide (PAI) - Modified 7 - Modified 27,39691.735611157266,5.581787676696848,92.06962530547834,2,4,400,0.7820486212097839,0.2179513787902161,0.19742383525981905,Engineering Plastic,12872.865443941038,14983.962871291245,10529.849534739391,66.1417282838958,0.5657101184851265
Polyetherimide (PEI) - Modified 8 - Modified 28,38817.92738648121,7.652491500570341,62.03051705498194,3,4,450,0.8979942388117242,0.10200576118827576,0.2056132967981516,Engineering Plastic,16560.388709902814,12742.106624770953,10975.885447959045,46.105647720706656,0.49108165536138326
Polysulfone (PSU) - Modified 9 - Modified 29,50769.57971817656,6.750446736318593,70.25423231680017,2,3,420,0.9140998214845554,0.08590017851544463,0.2651186578626842,Engineering Plastic,24359.48786658808,14354.028084421983,14011.6887973214,66.65720740044738,0.7339376751633209
Polyethersulfone (PES) - Modified 10 - Modified 30,44930.92903287317,7.935588523672445,72.83569958618182,2,4,440,0.7735172841459731,0.2264827158540269,0.21242685252224247,Engineering Plastic,19084.35572817028,11617.45663363061,13476.953734299857,54.19631855452982,0.7809634059678259
Polytetrafluoroethylene (PTFE) - Modified 11 - Modified 31,44162.54030853101,11.456512634793691,16.892801509328912,0,0,1500,0.9514122714449992,0.04858772855500082,0.16285585462002247,Engineering Plastic,14432.53805210112,12145.576583121732,6571.951375293698,56.80363162072078,0.7750297005505629
Fluorinated Ethylene Propylene (FEP) - Modified 12 - Modified 32,47655.66542394212,10.593110006147553,31.743618788435747,0,0,1300,0.9248563176991984,0.0751436823008016,0.17660961006991416,Engineering Plastic,15400.024033857617,14381.924931997179,12040.753007614263,70.2012613445157,0.8866046484772245
Polyvinylidene Fluoride (PVDF) - Modified 13 - Modified 33,36939.58493591987,9.465427167172125,4.8234927068189,0,0,1000,0.9327545878968507,0.06724541210314927,0.20397650006901455,Engineering Plastic,17318.650800875814,9744.98705634922,8026.672687361384,48.64773124473238,0.7720001693249776
Poly(methyl methacrylate) (PMMA) - Modified 14 - Modified 34,40246.06108245303,5.718011425450479,35.4088317468429,0,2,600,0.7096587237422871,0.2903412762577129,0.23534228521711242,Engineering Plastic,13195.092411249365,15848.640169350238,6127.423619889385,61.117011413564896,0.7619600615692118
Poly(butyl methacrylate) - Modified 15 - Modified 35,29381.41489752988,7.8778801857769505,33.225156981821094,0,2,800,0.8252773769238055,0.17472262307619446,0.20296899942815932,Engineering Plastic,11871.454684163793,11359.31131077595,8708.09502259408,52.541114423566384,0.8144911522417322
Polyurethane (PU) - Rigid - Modified 16 - Modified 36,29571.063129151356,6.438850847514589,83.58261262587592,1,4,500,0.8111812769978914,0.18881872300210856,0.3272416881391643,Engineering Plastic,9090.815004252932,11063.548816093587,8267.46662088009,58.65798437849707,0.3001111171772657
Polyurethane (PU) - Flexible - Modified 17 - Modified 37,32543.939672221444,5.697808382757109,66.13228122140865,1,4,650,0.7082372571384055,0.29176274286159454,0.29529493365499715,Engineering Plastic,10288.244310336557,9254.388878282756,4090.8751993782525,57.8086202348744,0.5174588467126624
Thermoplastic Polyurethane (TPU) - Modified 18 - Modified 38,27574.2090578486,5.807369041361629,69.28309298711407,1,4,700,0.6808555738835589,0.3191444261164411,0.34823900462721513,Engineering Plastic,11980.157055687918,9327.261713511765,2901.6800257514096,53.757912497871956,0.7425618576206533
Polyoxymethylene (POM) - Modified 19 - Modified 39,25867.38997475198,4.306854348759612,18.481748052162022,0,1,900,0.7940559160016073,0.2059440839983927,0.22825687513462534,Engineering Plastic,11325.681853801227,9844.245548097275,6147.803049650732,47.0154815919688,0.6598314066661665
POM Copolymer - Modified 20 - Modified 40,28425.80925509746,4.6049365165717235,47.70481404870549,0,1,950,0.8238418706407038,0.1761581293592962,0.21369497196771786,Engineering Plastic,10469.051620269818,10519.991131353787,6277.161329717334,42.57268492091581,0.4065432015789706
Nylon 6 (PA6) - Modified 1 - Modified 21 - Modified 41,23632.33145155494,4.028895110294132,56.62926029305311,0,2,400,0.7474339881554903,0.25256601184450966,0.20027154671138822,Engineering Plastic,8108.771722749598,6684.768955242707,6786.334146463163,43.05615833967953,0.48223985345312725
Nylon 66 (PA66) - Modified 2 - Modified 22 - Modified 42,19388.101804949973,4.26825142677005,62.56254544323601,0,2,450,0.7679637572315162,0.23203624276848378,0.17198369777242903,Engineering Plastic,8971.69005532021,4313.410794133219,2846.193846567358,40.991164318556045,0.5020755666492641
Nylon 12 (PA12) - Modified 3 - Modified 23 - Modified 43,24996.722489541007,4.582214030101921,55.68370799084623,0,2,600,0.797206651722682,0.202793348277318,0.18579699478807063,Engineering Plastic,8584.3905825907,5377.446741219252,2921.5566719526682,48.897815843407116,0.6406968667033897
Nylon 46 (PA46) - Modified 4 - Modified 24 - Modified 44,19944.022459490105,3.8123852548090706,54.140173526634364,0,2,420,0.7907194123806051,0.20928058761939494,0.17787209714679622,Engineering Plastic,8145.246748062608,6290.600147607147,3028.361533667555,42.52407643441333,0.798958977864646
Polycarbonate (PC) - Modified 5 - Modified 25 - Modified 45,42257.488082548305,6.46277976382938,67.84731620979265,2,3,500,0.8082465298506667,0.1917534701493333,0.3357827700102842,Engineering Plastic,20860.061135600918,13882.666079247376,4385.715716923615,56.825246870183946,0.859495067866608
PC-ABS Blend - Modified 6 - Modified 26 - Modified 46,52277.505261932434,6.73978803229617,44.28998426824547,2,3,550,0.8510632829649316,0.1489367170350684,0.2441113403705909,Engineering Plastic,17229.12289824779,19341.031299113547,5603.027224022173,59.80741522006056,0.7500554477121835
