name,formula,mw,carbon,hydrogen,oxygen,nitrogen,chlorine,fluorine,aromatic,ester,amide,ether,halogen,biodegradable,toxic,persistent,category,total_atoms,C_ratio,H_ratio,O_ratio,heteroatom_ratio
Dibutyl phthalate (DBP),C16H22O4,278.34,16,22,4,0,0,0,1,1,0,0,0,0.4,0.8,0.7,plasticizer,42,0.38095238095238093,0.5238095238095238,0.09523809523809523,0.09523809523809523
Bisphenol A (BPA),C15H16O2,228.29,15,16,2,0,0,0,1,0,0,0,0,0.3,0.85,0.6,plasticizer,33,0.45454545454545453,0.48484848484848486,0.06060606060606061,0.06060606060606061
DDT,C14H9Cl5,354.49,14,9,0,0,5,0,1,0,0,0,1,0.05,0.95,1.0,pollutant,28,0.5,0.32142857142857145,0.0,0.17857142857142858
PCB (Aroclor 1254),C12H5Cl5,326.43,12,5,0,0,5,0,1,0,0,0,1,0.0,1.0,1.0,pollutant,22,0.5454545454545454,0.22727272727272727,0.0,0.22727272727272727
Dioxin (TCDD),C12H4Cl4O2,321.97,12,4,2,0,4,0,1,0,0,1,1,0.0,1.0,1.0,pollutant,22,0.5454545454545454,0.18181818181818182,0.09090909090909091,0.2727272727272727
Toluene,C7H8,92.14,7,8,0,0,0,0,1,0,0,0,0,0.6,0.5,0.3,solvent,15,0.4666666666666667,0.5333333333333333,0.0,0.0
Benzene,C6H6,78.11,6,6,0,0,0,0,1,0,0,0,0,0.5,0.8,0.4,solvent,12,0.5,0.5,0.0,0.0
Xylene,C8H10,106.17,8,10,0,0,0,0,1,0,0,0,0,0.55,0.6,0.35,solvent,18,0.4444444444444444,0.5555555555555556,0.0,0.0
Acetone,C3H6O,58.08,3,6,1,0,0,0,0,0,0,0,0,0.9,0.2,0.1,solvent,10,0.3,0.6,0.1,0.1
Methanol,CH4O,32.04,1,4,1,0,0,0,0,0,0,0,0,0.95,0.4,0.05,solvent,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666
Ethanol,C2H6O,46.07,2,6,1,0,0,0,0,0,0,0,0,0.95,0.2,0.05,solvent,9,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.1111111111111111
Aspirin,C9H8O4,180.16,9,8,4,0,0,0,1,1,0,0,0,0.7,0.3,0.2,pharmaceutical,21,0.42857142857142855,0.38095238095238093,0.19047619047619047,0.19047619047619047
Ibuprofen,C13H18O2,206.28,13,18,2,0,0,0,1,0,0,0,0,0.6,0.4,0.3,pharmaceutical,33,0.3939393939393939,0.5454545454545454,0.06060606060606061,0.06060606060606061
Paracetamol,C8H9NO2,151.16,8,9,2,1,0,0,1,0,1,0,0,0.7,0.3,0.25,pharmaceutical,20,0.4,0.45,0.1,0.15
PBDE (DecaBDE),C12Br10O,959.17,12,0,1,0,0,0,1,0,0,1,1,0.0,0.9,1.0,flame_retardant,13,0.9230769230769231,0.0,0.07692307692307693,0.07692307692307693
TBBPA,C15H12Br4O2,543.87,15,12,2,0,0,0,1,0,0,0,1,0.1,0.8,0.9,flame_retardant,29,0.5172413793103449,0.41379310344827586,0.06896551724137931,0.06896551724137931
Polyethylene-1,C2H4,28.032,2,4,0,0,0,0,0,0,0,0,0,0.3,0.2,0.7,synthetic_variation,6,0.3333333333333333,0.6666666666666666,0.0,0.0
Polyethylene-2,C3H6,42.032,3,6,0,0,0,0,0,0,0,0,0,0.35,0.18000000000000002,0.6499999999999999,synthetic_variation,9,0.3333333333333333,0.6666666666666666,0.0,0.0
Polyethylene-3,C4H8,56.032,4,8,0,0,0,0,0,0,0,0,0,0.4,0.16,0.6,synthetic_variation,12,0.3333333333333333,0.6666666666666666,0.0,0.0
Polyethylene-4,C5H10,70.032,5,10,0,0,0,0,0,0,0,0,0,0.45,0.14,0.5499999999999999,synthetic_variation,15,0.3333333333333333,0.6666666666666666,0.0,0.0
Polyethylene-5,C6H12,84.032,6,12,0,0,0,0,0,0,0,0,0,0.5,0.12000000000000001,0.49999999999999994,synthetic_variation,18,0.3333333333333333,0.6666666666666666,0.0,0.0
Polyethylene-6,C7H14,98.032,7,14,0,0,0,0,0,0,0,0,0,0.55,0.1,0.44999999999999996,synthetic_variation,21,0.3333333333333333,0.6666666666666666,0.0,0.0
Polyethylene-7,C8H16,112.032,8,16,0,0,0,0,0,0,0,0,0,0.6000000000000001,0.08000000000000002,0.3999999999999999,synthetic_variation,24,0.3333333333333333,0.6666666666666666,0.0,0.0
Polyethylene-8,C9H18,126.032,9,18,0,0,0,0,0,0,0,0,0,0.65,0.06,0.3499999999999999,synthetic_variation,27,0.3333333333333333,0.6666666666666666,0.0,0.0
Polyethylene-9,C10H20,140.032,10,20,0,0,0,0,0,0,0,0,0,0.7,0.04000000000000001,0.29999999999999993,synthetic_variation,30,0.3333333333333333,0.6666666666666666,0.0,0.0
Polyethylene-10,C11H22,154.032,11,22,0,0,0,0,0,0,0,0,0,0.75,0.020000000000000018,0.24999999999999994,synthetic_variation,33,0.3333333333333333,0.6666666666666666,0.0,0.0
Polypropylene-1,C3H6,42.048,3,6,0,0,0,0,0,0,0,0,0,0.3,0.2,0.7,synthetic_variation,9,0.3333333333333333,0.6666666666666666,0.0,0.0
Polypropylene-2,C4H8,56.048,4,8,0,0,0,0,0,0,0,0,0,0.35,0.18000000000000002,0.6499999999999999,synthetic_variation,12,0.3333333333333333,0.6666666666666666,0.0,0.0
Polypropylene-3,C5H10,70.048,5,10,0,0,0,0,0,0,0,0,0,0.4,0.16,0.6,synthetic_variation,15,0.3333333333333333,0.6666666666666666,0.0,0.0
Polypropylene-4,C6H12,84.048,6,12,0,0,0,0,0,0,0,0,0,0.45,0.14,0.5499999999999999,synthetic_variation,18,0.3333333333333333,0.6666666666666666,0.0,0.0
Polypropylene-5,C7H14,98.048,7,14,0,0,0,0,0,0,0,0,0,0.5,0.12000000000000001,0.49999999999999994,synthetic_variation,21,0.3333333333333333,0.6666666666666666,0.0,0.0
Polypropylene-6,C8H16,112.048,8,16,0,0,0,0,0,0,0,0,0,0.55,0.1,0.44999999999999996,synthetic_variation,24,0.3333333333333333,0.6666666666666666,0.0,0.0
Polypropylene-7,C9H18,126.048,9,18,0,0,0,0,0,0,0,0,0,0.6000000000000001,0.08000000000000002,0.3999999999999999,synthetic_variation,27,0.3333333333333333,0.6666666666666666,0.0,0.0
Polypropylene-8,C10H20,140.048,10,20,0,0,0,0,0,0,0,0,0,0.65,0.06,0.3499999999999999,synthetic_variation,30,0.3333333333333333,0.6666666666666666,0.0,0.0
Polyester-1,C5H4,64.032,5,4,2,0,0,0,0,1,0,0,0,0.3,0.2,0.7,synthetic_variation,11,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.18181818181818182
Polyester-2,C6H6,78.032,6,6,2,0,0,0,0,1,0,0,0,0.35,0.18000000000000002,0.6499999999999999,synthetic_variation,14,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.14285714285714285
Polyester-3,C7H8,92.032,7,8,2,0,0,0,0,1,0,0,0,0.4,0.16,0.6,synthetic_variation,17,0.4117647058823529,0.47058823529411764,0.11764705882352941,0.11764705882352941
Polyester-4,C8H10,106.032,8,10,2,0,0,0,0,1,0,0,0,0.45,0.14,0.5499999999999999,synthetic_variation,20,0.4,0.5,0.1,0.1
Polyester-5,C9H12,120.032,9,12,2,0,0,0,0,1,0,0,0,0.5,0.12000000000000001,0.49999999999999994,synthetic_variation,23,0.391304347826087,0.5217391304347826,0.08695652173913043,0.08695652173913043
Polyester-6,C10H14,134.03199999999998,10,14,2,0,0,0,0,1,0,0,0,0.55,0.1,0.44999999999999996,synthetic_variation,26,0.38461538461538464,0.5384615384615384,0.07692307692307693,0.07692307692307693
Polyester-7,C11H16,148.03199999999998,11,16,2,0,0,0,0,1,0,0,0,0.6000000000000001,0.08000000000000002,0.3999999999999999,synthetic_variation,29,0.3793103448275862,0.5517241379310345,0.06896551724137931,0.06896551724137931
Polyester-8,C12H18,162.03199999999998,12,18,2,0,0,0,0,1,0,0,0,0.65,0.06,0.3499999999999999,synthetic_variation,32,0.375,0.5625,0.0625,0.0625
Polyester-9,C13H20,176.03199999999998,13,20,2,0,0,0,0,1,0,0,0,0.7,0.04000000000000001,0.29999999999999993,synthetic_variation,35,0.37142857142857144,0.5714285714285714,0.05714285714285714,0.05714285714285714
Polyester-10,C14H22,190.03199999999998,14,22,2,0,0,0,0,1,0,0,0,0.75,0.020000000000000018,0.24999999999999994,synthetic_variation,38,0.3684210526315789,0.5789473684210527,0.05263157894736842,0.05263157894736842
Polyester-11,C15H24,204.03199999999998,15,24,2,0,0,0,0,1,0,0,0,0.8,0.0,0.19999999999999996,synthetic_variation,41,0.36585365853658536,0.5853658536585366,0.04878048780487805,0.04878048780487805
Polyester-12,C16H26,218.03199999999998,16,26,2,0,0,0,0,1,0,0,0,0.8500000000000001,-0.01999999999999999,0.1499999999999999,synthetic_variation,44,0.36363636363636365,0.5909090909090909,0.045454545454545456,0.045454545454545456
Polyamide-1,C6H11,83.088,6,11,1,1,0,0,0,0,1,0,0,0.3,0.2,0.7,synthetic_variation,19,0.3157894736842105,0.5789473684210527,0.05263157894736842,0.10526315789473684
Polyamide-2,C7H13,97.088,7,13,1,1,0,0,0,0,1,0,0,0.35,0.18000000000000002,0.6499999999999999,synthetic_variation,22,0.3181818181818182,0.5909090909090909,0.045454545454545456,0.09090909090909091
Polyamide-3,C8H15,111.088,8,15,1,1,0,0,0,0,1,0,0,0.4,0.16,0.6,synthetic_variation,25,0.32,0.6,0.04,0.08
Polyamide-4,C9H17,125.088,9,17,1,1,0,0,0,0,1,0,0,0.45,0.14,0.5499999999999999,synthetic_variation,28,0.32142857142857145,0.6071428571428571,0.03571428571428571,0.07142857142857142
Polyamide-5,C10H19,139.088,10,19,1,1,0,0,0,0,1,0,0,0.5,0.12000000000000001,0.49999999999999994,synthetic_variation,31,0.3225806451612903,0.6129032258064516,0.03225806451612903,0.06451612903225806
Polyamide-6,C11H21,153.088,11,21,1,1,0,0,0,0,1,0,0,0.55,0.1,0.44999999999999996,synthetic_variation,34,0.3235294117647059,0.6176470588235294,0.029411764705882353,0.058823529411764705
Polyamide-7,C12H23,167.088,12,23,1,1,0,0,0,0,1,0,0,0.6000000000000001,0.08000000000000002,0.3999999999999999,synthetic_variation,37,0.32432432432432434,0.6216216216216216,0.02702702702702703,0.05405405405405406
Polyamide-8,C13H25,181.088,13,25,1,1,0,0,0,0,1,0,0,0.65,0.06,0.3499999999999999,synthetic_variation,40,0.325,0.625,0.025,0.05
Polyamide-9,C14H27,195.088,14,27,1,1,0,0,0,0,1,0,0,0.7,0.04000000000000001,0.29999999999999993,synthetic_variation,43,0.32558139534883723,0.627906976744186,0.023255813953488372,0.046511627906976744
Polyamide-10,C15H29,209.088,15,29,1,1,0,0,0,0,1,0,0,0.75,0.020000000000000018,0.24999999999999994,synthetic_variation,46,0.32608695652173914,0.6304347826086957,0.021739130434782608,0.043478260869565216
Ethylene-Cl1,C2H4,28.05,2,4,0,0,1,0,0,0,0,0,1,0.3,0.4,0.44999999999999996,halogenated,7,0.2857142857142857,0.5714285714285714,0.0,0.14285714285714285
Ethylene-Cl2,C2H4,28.05,2,4,0,0,2,0,0,0,0,0,1,0.09999999999999998,0.6000000000000001,0.6,halogenated,8,0.25,0.5,0.0,0.25
Ethylene-Cl3,C2H4,28.05,2,4,0,0,3,0,0,0,0,0,1,0.0,0.8,0.75,halogenated,9,0.2222222222222222,0.4444444444444444,0.0,0.3333333333333333
Propylene-Cl1,C3H6,42.08,3,6,0,0,1,0,0,0,0,0,1,0.3,0.4,0.44999999999999996,halogenated,10,0.3,0.6,0.0,0.1
Propylene-Cl2,C3H6,42.08,3,6,0,0,2,0,0,0,0,0,1,0.09999999999999998,0.6000000000000001,0.6,halogenated,11,0.2727272727272727,0.5454545454545454,0.0,0.18181818181818182
Propylene-Cl3,C3H6,42.08,3,6,0,0,3,0,0,0,0,0,1,0.0,0.8,0.75,halogenated,12,0.25,0.5,0.0,0.25
Benzene-Cl1,C6H6,78.11,6,6,0,0,1,0,1,0,0,0,1,0.3,1.0,0.55,halogenated,13,0.46153846153846156,0.46153846153846156,0.0,0.07692307692307693
Benzene-Cl2,C6H6,78.11,6,6,0,0,2,0,1,0,0,0,1,0.09999999999999998,1.0,0.7,halogenated,14,0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285
Benzene-Cl3,C6H6,78.11,6,6,0,0,3,0,1,0,0,0,1,0.0,1.0,0.85,halogenated,15,0.4,0.4,0.0,0.2
Toluene-Cl1,C7H8,92.14,7,8,0,0,1,0,1,0,0,0,1,0.39999999999999997,0.7,0.44999999999999996,halogenated,16,0.4375,0.5,0.0,0.0625
Toluene-Cl2,C7H8,92.14,7,8,0,0,2,0,1,0,0,0,1,0.19999999999999996,0.9,0.6,halogenated,17,0.4117647058823529,0.47058823529411764,0.0,0.11764705882352941
Toluene-Cl3,C7H8,92.14,7,8,0,0,3,0,1,0,0,0,1,0.0,1.0,0.75,halogenated,18,0.3888888888888889,0.4444444444444444,0.0,0.16666666666666666
