material_name,composition,category,compressive_strength_mpa,tensile_strength_mpa,fracture_toughness_mpa_m_half,elastic_modulus_gpa,hardness_gpa,thermal_conductivity_w_mk,thermal_conductivity_anisotropy,thermal_expansion_coeff,thermal_expansion_anisotropy,specific_heat_j_kgk,electrical_resistivity_ohm_m,dielectric_constant,band_gap_ev,carrier_mobility_cm2_vs,base_nrci,final_nrci,structural_optimization,resonance_strength,ubp_energy_cu,grain_size_um,porosity_fraction,uncertainty_mechanical,uncertainty_thermal,uncertainty_electrical,confidence_score
Steatite,Mg3Si4O10(OH)2,Traditional Ceramic,3462.7405460703435,346.2740546070344,14.846077539918937,556.3176816345133,30.44146743762428,24.38837259127329,1.0,1.0192940034859835e-05,1.0,692.2651000423456,101.92940034859834,13.19672131147541,1.12,1400.0,0.999,0.9807059965140167,0.82571625,0.9342090725598117,1067.4861153885965,2.0,0.01,0.08964700174299166,0.10564700174299166,0.12964700174299165,0.9712451240562835
Urania (UO2),UO2,Traditional Ceramic,2743.701977978664,274.3701977978664,16.578978626374386,561.8750068425792,30.71774574338702,9.820471780010534,1.0,1.0060716156370643e-05,1.0,753.8474840542956,10261930479.498055,14.000933333333332,,,0.9944324999999999,0.9939283843629358,0.83371625,0.9458647440540551,1096.8807840265702,2.0,0.01,0.08303580781853208,0.09903580781853208,0.12303580781853207,0.9909110088026258
Thoria (ThO2),ThO2,Traditional Ceramic,2749.9444498381313,274.99444498381314,16.672429138511273,562.4303687998357,30.719381211238655,9.82085728314699,1.0,1.0059933438734197e-05,1.0,676.1098368035408,10261132107.50888,13.801266666666667,,,0.9944324999999999,0.9940066561265805,0.83971625,0.9477195342886062,1100.2487047186428,2.0,0.01,0.08299667193670977,0.09899667193670977,0.12299667193670977,0.9910279442752632
Hafnia (HfO2),HfO2,Traditional Ceramic,2758.298545493393,275.8298545493393,16.821688366031594,563.1028373888478,30.73261682984611,9.823977107533032,1.0,1.0053599011491895e-05,1.0,746.0801037936495,10254670991.721731,12.016266666666667,,,0.9944324999999999,0.9946400988508107,0.8447162500000001,0.9496629441955675,1104.152050933243,2.0,0.01,0.08267995057459464,0.09867995057459464,0.12267995057459463,0.9919745125463806
Barium Titanate (Pure),BaTiO3,Functional Ceramic,3059.958550892269,305.99585508922695,17.33688655367803,564.7081477882246,30.81356030144754,9.843056640124798,1.0,1.0014860321083417e-05,1.0,687.6150714765957,10215157527.505085,8.109253333333333,,,0.999,0.9985139678916584,0.84671625,0.9529746525241608,1112.6985108168062,2.0,0.01,0.09074301605417082,0.10874301605417082,0.13574301605417083,0.9977720559832011
Barium Titanate (Sr-doped),Ba0.8Sr0.2TiO3,Functional Ceramic,2972.1416541430726,297.2141654143073,15.531429431930068,559.3587050704231,30.515612908339108,9.772826183177811,1.0,1.0157454795860502e-05,1.0,651.9726469136787,10360603891.77771,7.232520000000001,,,0.9844324999999999,0.9842545204139499,0.84571625,0.9426930392897648,1084.7894303927312,2.0,0.01,0.09787273979302505,0.11587273979302505,0.14287273979302506,0.9765057406846223
Barium Titanate (Ca-doped),Ba0.9Ca0.1TiO3,Functional Ceramic,2972.548661424442,297.2548661424442,15.53621025201643,559.3928074585516,30.515575675046495,9.77281740675884,1.0,1.0157472615321007e-05,1.0,756.8283690304663,10360622067.627426,7.234688,,,0.9844324999999999,0.9842527384678994,0.8461162499999999,0.9428117919275294,1084.9983561533086,2.0,0.01,0.0978736307660503,0.1158736307660503,0.1428736307660503,0.9765030958247293
Lead Zirconate Titanate (PZT-5H),Pb(Zr0.52Ti0.48)O3,Functional Ceramic,3000.904812477824,300.0904812477824,16.136705622609476,561.0885221673999,30.61851851767147,9.797082505377583,1.0,1.0108205258345589e-05,1.0,670.4705088667678,10310369363.5125,8.2560964,,,0.9894324999999999,0.989179474165441,0.84471625,0.9458405069158087,1093.6703362155217,2.0,0.01,0.09541026291727947,0.11341026291727947,0.14041026291727948,0.9838277531378298
Lead Zirconate Titanate (PZT-4),Pb(Zr0.52Ti0.48)O3,Functional Ceramic,3001.4723356801956,300.14723356801954,16.14329832709909,561.1369459250132,30.6182932759033,9.797029412675085,1.0,1.0108313056676345e-05,1.0,688.1461602469379,10310479317.809872,8.2560964,,,0.9894324999999999,0.9891686943323657,0.8453162499999999,0.9460129610326558,1093.9701152384766,2.0,0.01,0.09541565283381717,0.11341565283381717,0.14041565283381718,0.9838117000897814
Lead Zirconate Titanate (PZT-8),Pb(Zr0.52Ti0.48)O3,Functional Ceramic,3001.8530212633414,300.18530212633414,16.14774105750776,561.1693707578763,30.61815121070296,9.79699592587786,1.0,1.0108381047580429e-05,1.0,676.3831416822311,10310548668.532036,8.2560964,,,0.9894324999999999,0.9891618952419573,0.84571625,0.94612820166937,1094.1707291534085,2.0,0.01,0.09541905237902135,0.11341905237902135,0.14041905237902136,0.9838015751203091
Lead Lanthanum Zirconate Titanate (PLZT),"(Pb,La)(Zr,Ti)O3",Functional Ceramic,3029.937893629099,302.9937893629099,16.743441011128706,562.8260701414196,30.721911409404658,9.821453687000407,1.0,1.0058722512621371e-05,1.0,776.0294498137112,10259896962.873798,8.046845714285714,,,0.9944324999999998,0.9941277487378629,0.84371625,0.949004299116504,1102.6292061382408,2.0,0.01,0.09293612563106854,0.11093612563106854,0.13793612563106855,0.9912088647742373
Zinc Oxide (ZnO),ZnO,Functional Ceramic,2752.886201225517,275.2886201225517,16.723034094105913,562.6727894550263,30.72317334024173,9.821751142126287,1.3,1.0058118565853991e-05,1.3,703.8736246554621,10259280937.17107,9.06895,,,0.9944324999999999,0.9941881434146009,0.8417162499999999,0.9484465753902205,1101.670971233059,2.0,0.01,0.09290592829269953,0.11090592829269953,0.13790592829269954,0.991299103960386
Zinc Oxide (Al-doped),ZnO,Functional Ceramic,2751.272810848386,275.1272810848386,16.702362677794834,562.5188119332234,30.724396962034756,9.822039567263214,1.3,1.005753295339039e-05,1.3,658.6630365379602,10258683612.458197,9.06895,,,0.9944324999999999,0.9942467046609612,0.8397162499999999,0.9478875682626728,1100.7095353101372,2.0,0.01,0.09287664766951939,0.1108766476695194,0.1378766476695194,0.9913866071950709
Yttria-Stabilized Zirconia (8YSZ),ZrO2,Functional Ceramic,3062.5391827580747,306.2539182758075,17.367527368497807,564.9338514097702,30.811366692409926,9.842539575137362,1.0,1.0015910159195176e-05,1.0,638.8348134908625,10216228362.379078,9.1074,,,0.999,0.9984089840804824,0.84971625,0.9538011638563376,1114.1178295968923,2.0,0.01,0.0907955079597588,0.1087955079597588,0.1357955079597588,0.9976147417865516
Scandia-Stabilized Zirconia (ScSZ),ZrO2,Functional Ceramic,3064.3363050999965,306.43363050999966,17.38949767023513,565.0889493958892,30.810167793419982,9.842256977518304,1.0,1.0016483939586401e-05,1.0,736.1892551453378,10216813618.37813,9.1074,,,0.999,0.99835160604136,0.85171625,0.9543609992289519,1115.0888129232676,2.0,0.01,0.09082419697932001,0.10882419697932001,0.13582419697932002,0.9975287676633614
Bismuth Ferrite (BFO),BiFeO3,Functional Ceramic,2773.168886463661,277.31688864636607,17.223748125706113,563.8801261944786,30.821605473805768,29.534859006542003,1.0,1.0011009986583276e-05,1.0,741.0003353362836,1.0011009986583274e-07,1.0,,,0.999,0.9988990013416725,0.8357162499999999,0.9499441759391707,1107.5002325647165,2.0,0.01,0.09055049932916373,0.10855049932916373,0.13555049932916374,0.9983491081115317
Sodium Bismuth Titanate (NBT),Na0.5Bi0.5TiO3,Functional Ceramic,3056.6105704754486,305.6610570475449,17.297826063601352,564.412837178942,30.81680893434256,9.8438223893072,1.0,1.0013305559698944e-05,1.0,657.2572735877142,10213571670.892923,7.1184899999999995,,,0.999,0.9986694440301055,0.84271625,0.9518834858210738,1110.8370220884592,2.0,0.01,0.09066527798494725,0.10866527798494725,0.13566527798494726,0.9980050512347528
Potassium Sodium Niobate (KNN),"(K,Na)NbO3",Functional Ceramic,2777.972738048368,277.7972738048368,17.287967367684995,564.3388015261075,30.81761027481003,9.844011276703101,1.0,1.0012922046616706e-05,1.0,600.0,10213180487.54904,6.691591666666667,,,0.999,0.9987077953383294,0.8417162499999999,0.9516103317368305,1110.370824870637,2.0,0.01,0.09064610233083528,0.10864610233083528,0.1356461023308353,0.998062527903938
Lithium Niobate (LiNbO3),LiNbO3,Functional Ceramic,2779.4969882571427,277.9496988257143,17.307585673771424,564.4866079316935,30.815992969043418,9.843630054629541,1.0,1.0013696072071126e-05,1.0,705.5173651878141,10213969993.512548,6.971253333333333,,,0.999,0.9986303927928873,0.84371625,0.9521561499550211,1111.301938595793,2.0,0.01,0.09068480360355632,0.10868480360355633,0.13568480360355634,0.997946527101282
Hydroxyapatite,Ca10(PO4)6(OH)2,Bioceramic,2742.429199954046,274.24291999540463,16.765834449374996,561.0948476047874,30.82371581412598,9.84545043954186,1.0,1.0009999999999999e-05,1.0,696.0068518450631,10210199999.999998,6.726003846153846,,,0.9894324999999999,0.999,0.80371625,0.9404148749999999,1090.4886381374877,2.0,0.01,0.1105,0.1325,0.1655,0.9985005
Bioactive Glass (45S5),SiO2-Na2O-CaO-P2O5,Bioceramic,3565.1579599402603,356.51579599402606,16.765834449374996,561.0948476047874,30.82371581412598,24.61362609885465,1.0,1.0009999999999999e-05,1.0,737.0261489672059,100.1,13.19672131147541,1.12,1400.0,0.9944324999999998,0.999,0.80371625,0.9404148749999999,1090.4886381374877,2.0,0.01,0.1105,0.1325,0.1655,0.9985005
Silicon-doped Hydroxyapatite,Ca10(PO4)6-x(SiO4)x(OH)2-x,Bioceramic,3545.4821224610973,354.54821224610976,16.43636162493985,560.086540937505,30.766035543667268,24.579635939477196,1.0,1.0037605168097802e-05,1.0,654.5559232183822,100.37605168097801,13.19672131147541,1.12,1400.0,0.9794324999999999,0.9962394831902198,0.80371625,0.9384825132331538,1085.2407714665592,2.0,0.01,0.11188025840489009,0.1338802584048901,0.1668802584048901,0.9943662955286681
Tin Oxide (SnO2),SnO2,Functional Ceramic,2782.551959036753,278.2551959036753,17.346869296798666,564.7826810567273,30.81278905450968,9.842874846203731,1.0,1.00152294317203e-05,1.0,685.5948382779353,10215534020.354708,10.023599999999998,,,0.999,0.9984770568279699,0.84771625,0.953248814779579,1113.16783976468,2.0,0.01,0.09076147158601502,0.10876147158601503,0.13576147158601504,0.9977167449199076
Indium Tin Oxide (ITO),In2O3,Functional Ceramic,2784.126529780068,278.4126529780068,17.367527368497807,564.9338514097702,30.811366692409926,9.842539575137362,1.0,1.0015910159195176e-05,1.0,753.6032817094449,10216228362.379078,10.55274,,,0.999,0.9984089840804824,0.84971625,0.9538011638563376,1114.1178295968923,2.0,0.01,0.0907955079597588,0.1087955079597588,0.1357955079597588,0.9976147417865516
Titanium Dioxide (Rutile),TiO2,Functional Ceramic,3060.8071549404285,306.08071549404286,17.346869296798666,564.7826810567273,30.81278905450968,9.842874846203731,1.0,1.00152294317203e-05,1.0,645.7259106818012,10215534020.354708,7.662166666666667,,,0.999,0.9984770568279699,0.84771625,0.953248814779579,1113.16783976468,2.0,0.01,0.09076147158601502,0.10876147158601503,0.13576147158601504,0.9977167449199076
Titanium Dioxide (Anatase),TiO2,Functional Ceramic,3052.3081820883085,305.23081820883084,17.246423259861803,564.0366841805123,30.820480479916853,9.84468782504971,1.0,1.0011548396773892e-05,1.0,620.2053800441228,10211779364.70937,7.662166666666667,,,0.999,0.998845160322611,0.8377162499999999,0.9505064872258275,1108.4758413255413,2.0,0.01,0.09057741983869452,0.10857741983869452,0.13557741983869454,0.9982684073112567
Ferrite (MnZn),MnZnFe2O4,Functional Ceramic,2781.0160243873906,278.10160243873906,17.327053353050662,564.6340795508181,30.81435825227619,29.52973418560323,1.0,1.0014478430246508e-05,1.0,743.3955450152574,1.0014478430246507e-07,1.0,,,0.999,0.9985521569753494,0.84571625,0.9527013848827446,1112.2317215657806,2.0,0.01,0.0907239215123253,0.10872392151232531,0.13572392151232532,0.997829283587736
Ferrite (NiZn),NiZnFe2O4,Functional Ceramic,2780.2557791321437,278.02557791321436,17.317307311919926,564.5602942318529,30.815172610631357,29.53031005329724,1.0,1.0014088686940739e-05,1.0,600.0,1.0014088686940738e-07,1.0,,,0.999,0.9985911313059261,0.84471625,0.9524286669141482,1111.7665183819174,2.0,0.01,0.09070443434703693,0.10870443434703693,0.13570443434703694,0.9978876894143878
Garnet (YIG),Y3Fe5O12,Functional Ceramic,2783.3330955573474,278.33330955573473,17.35706295574458,564.8578578275511,30.81205459191182,29.52810516863128,1.0,1.0015580937760653e-05,1.0,719.6210015371272,1.0015580937760653e-07,1.0,,,0.999,0.9984419062239347,0.84871625,0.9535242093567542,1113.6406432959911,2.0,0.01,0.09077904688803265,0.10877904688803265,0.13577904688803266,0.9976640731640095
SiC-Fiber/SiC-Matrix (CVI),SiC,Ceramic Composite,3512.8318317086373,351.28318317086377,16.129385159082616,553.454735899445,39.14474102410596,24.068690116409464,1.0,1.0152613416220685e-05,1.0,777.8981117106863,101.52613416220684,13.19672131147541,1.12,1400.0,0.998964,0.9847386583779316,0.901482,0.9597616608645521,1115.5151360443624,5.0,0.02,0.1076306708110342,0.12763067081103419,0.15763067081103418,0.9772244418409501
SiC-Fiber/SiC-Matrix (PIP),SiC,Ceramic Composite,3500.615704483054,350.0615704483054,15.881719638492662,552.8723968030021,39.08378882950591,24.04380130361444,1.0,1.0173137087711114e-05,1.0,675.1991985144817,101.73137087711113,13.19672131147541,1.12,1400.0,0.998964,0.9826862912288888,0.903482,0.9589250038602222,1112.5967309779455,5.0,0.02,0.10865685438555558,0.12865685438555557,0.15865685438555557,0.9741793190990387
C-Fiber/SiC-Matrix,SiC,Ceramic Composite,3512.8318317086373,351.28318317086377,16.129385159082616,553.454735899445,39.14474102410596,24.068690116409464,1.0,1.0152613416220685e-05,1.0,717.7429160924587,101.52613416220684,13.19672131147541,1.12,1400.0,0.998964,0.9847386583779316,0.901482,0.9597616608645521,1115.5151360443624,5.0,0.02,0.1076306708110342,0.12763067081103419,0.15763067081103418,0.9772244418409501
C-Fiber/C-Matrix (C/C),Carbon,Ceramic Composite,2741.8479898295823,274.1847989829582,16.913091481774416,556.513529646177,30.457219483914308,9.647554913310334,1.0,1.0111220113494662e-05,1.0,724.0734901471383,10515668918.034449,13.015600000000001,,,0.988964,0.9888779886505339,0.919482,0.9680591920553737,1133.335057758095,5.0,0.02,0.10556100567473306,0.12556100567473305,0.15556100567473305,0.9833788325440297
Al2O3-Fiber/Al2O3-Matrix,Al2O3,Ceramic Composite,3062.2317237259067,306.2231723725907,18.03682500320089,559.0106128329679,30.65677393023362,29.082352852354518,1.0,1.00152294317203e-05,1.0,701.1414253307839,1.00152294317203e-07,1.0,,,0.999,0.9984770568279699,0.907482,0.9711785397795789,1145.6964565801634,5.0,0.02,0.10076147158601503,0.12076147158601502,0.15076147158601502,0.9977167449199076
Alumina-Zirconia (ZTA 10%),Al2O3,Ceramic Composite,3065.6741214662916,306.5674121466292,18.077920630935257,559.3103002220016,30.654165941437252,29.080527260197062,1.0,1.0016483939586401e-05,1.0,729.7328184020146,1.00164839395864e-07,1.0,,,0.999,0.99835160604136,0.911482,0.972290724228952,1147.640935103394,5.0,0.02,0.10082419697932002,0.12082419697932001,0.15082419697932,0.9975287676633614
Alumina-Zirconia (ZTA 20%),Al2O3,Ceramic Composite,3065.6741214662916,306.5674121466292,18.077920630935257,559.3103002220016,30.654165941437252,29.080527260197062,1.0,1.0016483939586401e-05,1.0,723.5756320096336,1.00164839395864e-07,1.0,,,0.999,0.99835160604136,0.911482,0.972290724228952,1147.640935103394,5.0,0.02,0.10082419697932002,0.12082419697932001,0.15082419697932,0.9975287676633614
Alumina-SiC Whisker (15%),Al2O3,Ceramic Composite,3069.457629381094,306.94576293810945,18.126378038266818,559.6304273798017,30.65271797191525,29.079513681531658,1.0,1.0017180449156442e-05,1.0,676.0219610841865,1.0017180449156441e-07,1.0,,,0.999,0.9982819550843558,0.915482,0.9734419685590491,1149.6970580498346,5.0,0.02,0.1008590224578221,0.1208590224578221,0.1508590224578221,0.9974244084656998
Alumina-SiC Whisker (30%),Al2O3,Ceramic Composite,3070.4738199118206,307.0473819911821,18.140023430993768,559.7146680957588,30.652594207717733,29.079427046593395,1.0,1.0017239982832181e-05,1.0,697.6595592193119,1.001723998283218e-07,1.0,,,0.999,0.998276001716782,0.916482,0.9737378012017474,1150.2340086546217,5.0,0.02,0.10086199914160901,0.120861999141609,0.150861999141609,0.9974154886602132
